Quarter,Time,Tm,Detail,NYJ,LAR
1.0,6:25,Jets,Ty Johnson 18 yard pass from Sam Darnold (Sam Ficken kick),7,0
2.0,12:44,Jets,Sam Ficken 39 yard field goal,10,0
,7:37,Jets,Sam Ficken 25 yard field goal,13,0
,0:00,Rams,Matt Gay 45 yard field goal,13,3
3.0,8:30,Jets,Frank Gore 1 yard rush (Sam Ficken kick),20,3
,6:09,Rams,Robert Woods 15 yard pass from Jared Goff (Matt Gay kick),20,10
,1:39,Jets,Sam Ficken 21 yard field goal,23,10
4.0,13:47,Rams,Tyler Higbee 3 yard pass from Jared Goff (Matt Gay kick),23,17
,6:35,Rams,Matt Gay 42 yard field goal,23,20
