Quarter,Time,Down,ToGo,Location,NYJ,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAR 25,0,0,Cam Akers right end for 2 yards (tackle by Javelin Guidry),0.610,0.330
1,14:33,2,8,LAR 27,0,0,Jared Goff pass complete short left to Robert Woods for 6 yards (tackle by Javelin Guidry),0.330,0.430
1,13:54,3,2,LAR 33,0,0,Jared Goff pass incomplete short left intended for Gerald Everett,0.430,-1.180
1,13:49,4,2,LAR 33,0,0,"Johnny Hekker punts 59 yards, returned by Braxton Berrios for 18 yards (tackle by Malcolm Brown)",-1.180,-0.670
1,13:37,1,10,NYJ 26,0,0,Sam Darnold pass complete short right to Chris Herndon for 12 yards (tackle by Jalen Ramsey and Troy Reeder),0.670,1.470
1,12:57,1,10,NYJ 38,0,0,Frank Gore right tackle for no gain (tackle by Michael Brockers and Troy Reeder),1.470,0.920
1,12:19,2,10,NYJ 38,0,0,Sam Darnold pass complete short right to Jamison Crowder for 5 yards (tackle by John Johnson),0.920,0.890
1,11:35,3,5,NYJ 43,0,0,Sam Darnold pass complete short left to Ty Johnson for 8 yards (tackle by Darious Williams),0.890,2.320
1,11:10,1,10,LAR 49,0,0,Frank Gore up the middle for 4 yards (tackle by Sebastian Joseph and Aaron Donald),2.320,2.320
1,10:31,2,6,LAR 45,0,0,Frank Gore right tackle for 2 yards (tackle by Sebastian Joseph and Samson Ebukam),2.320,1.880
1,9:52,3,4,LAR 43,0,0,Frank Gore up the middle for 5 yards (tackle by Jordan Fuller),1.880,3.050
1,9:15,1,10,LAR 38,0,0,Sam Darnold up the middle for 9 yards (tackle by Troy Reeder),3.050,3.720
1,8:34,2,1,LAR 29,0,0,Frank Gore right tackle for no gain (tackle by Michael Brockers),3.720,3.010
1,7:54,,,,,,Timeout #1 by New York Jets,,
1,7:54,3,1,LAR 29,0,0,Sam Darnold pass complete short right to Ty Johnson for 6 yards (tackle by John Johnson),3.010,4.040
1,7:19,1,10,LAR 23,0,0,Sam Darnold pass incomplete short right,4.040,3.500
1,7:14,2,10,LAR 23,0,0,Sam Darnold pass complete short right to Ty Johnson for 5 yards (tackle by Troy Reeder),3.500,3.490
1,6:33,3,5,LAR 18,6,0,"Sam Darnold pass complete short left to Ty Johnson for 18 yards, touchdown",3.490,7.000
1,6:25,,,LAR 15,7,0,Sam Ficken kicks extra point good,0.000,0.000
1,6:25,,,NYJ 35,7,0,"Sam Ficken kicks off 68 yards, returned by Nsimba Webster for 24 yards (tackle by Frankie Luvu)",0.000,0.340
1,6:19,1,10,LAR 21,7,0,"Cam Akers left tackle for 10 yards (tackle by Marcus Maye). Penalty on Joseph Noteboom: Offensive Holding, 10 yards (no play)",0.340,-0.720
1,5:48,1,20,LAR 11,7,0,Cam Akers right tackle for 3 yards (tackle by Quinnen Williams and Harvey Langi),-0.720,-1.250
1,5:07,2,17,LAR 14,7,0,Cam Akers right guard for 6 yards (tackle by Neville Hewitt and Nathan Shepherd),-1.250,-1.020
1,4:46,3,11,LAR 20,7,0,Jared Goff up the middle for 9 yards (tackle by Neville Hewitt),-1.020,-1.440
1,4:10,4,2,LAR 29,7,0,"Johnny Hekker punts 44 yards, fair catch by Braxton Berrios at NYJ-27",-1.440,-0.740
1,4:02,1,10,NYJ 27,7,0,"Sam Darnold pass incomplete short right intended for Denzel Mims. Penalty on Pat Elflein: Offensive Holding, 10 yards (no play)",0.740,-0.170
1,3:57,1,20,NYJ 17,7,0,Sam Darnold pass complete short left to Jamison Crowder for 4 yards (tackle by Jordan Fuller),-0.170,-0.610
1,3:10,2,16,NYJ 21,7,0,Sam Darnold pass complete short middle to Jamison Crowder for 7 yards (tackle by Kenny Young and Troy Reeder),-0.610,-0.360
1,2:25,3,9,NYJ 28,7,0,Sam Darnold sacked by Morgan Fox for -8 yards,-0.360,-2.030
1,1:45,4,17,NYJ 20,7,0,Braden Mann punts 44 yards downed by Jeff Smith,-2.030,-1.330
1,1:33,1,10,LAR 36,7,0,Jared Goff pass complete short left to Robert Woods for 11 yards (tackle by Blessuan Austin),1.330,2.060
1,1:10,1,10,LAR 47,7,0,Jared Goff sacked by Quinnen Williams for -8 yards,2.060,0.440
1,0:30,2,18,LAR 39,7,0,"Penalty on Tyler Higbee: False Start, 5 yards (no play)",0.440,-0.240
1,0:10,2,23,LAR 34,7,0,Jared Goff pass complete short right to Robert Woods for no gain (tackle by Marcus Maye),-0.240,-0.890
Quarter,Time,Down,ToGo,Location,NYJ,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,23,LAR 34,7,0,Malcolm Brown up the middle for 4 yards (tackle by Harvey Langi and Neville Hewitt),-0.890,-0.850
2,14:20,4,19,LAR 38,7,0,"Johnny Hekker punts blocked by J.T. Hassell, recovered by Lamar Jackson",-0.850,-3.780
2,14:14,1,10,LAR 27,7,0,Frank Gore up the middle for 4 yards (tackle by A'Shawn Robinson),3.780,3.770
2,13:40,2,6,LAR 23,7,0,Frank Gore up the middle for 2 yards (tackle by A'Shawn Robinson),3.770,3.340
2,12:59,3,4,LAR 21,7,0,Sam Darnold pass incomplete deep right intended for Braxton Berrios,3.340,2.130
2,12:49,4,4,LAR 21,10,0,Sam Ficken 39 yard field goal good,2.130,3.000
2,12:44,,,NYJ 35,10,0,"Sam Ficken kicks off 70 yards, returned by Nsimba Webster for 24 yards (tackle by Josh Adams)",0.000,0.150
2,12:34,1,10,LAR 19,10,0,Cam Akers up the middle for 1 yard (tackle by Quinnen Williams),0.150,-0.200
2,11:52,2,9,LAR 20,10,0,Jared Goff sacked by Nathan Shepherd for -7 yards,-0.200,-2.080
2,11:12,3,16,LAR 13,10,0,Jared Goff pass complete short middle to Gerald Everett for 15 yards (tackle by Marcus Maye and Harvey Langi),-2.080,-1.500
2,10:21,4,1,LAR 28,10,0,"Penalty on John Franklin-Myers: Neutral Zone Infraction, 5 yards (no play)",-1.500,1.140
2,9:59,1,10,LAR 33,10,0,Jared Goff pass short right intended for Robert Woods is intercepted by Bryce Hall at LA-42 and returned for 20 yards,1.140,-4.110
2,9:46,1,10,LAR 22,10,0,"Frank Gore left tackle for 6 yards (tackle by Troy Reeder). Penalty on Justin Hollins: Face Mask (15 Yards), 8 yards",4.110,5.370
2,9:17,1,8,LAR 8,10,0,Sam Darnold pass complete short middle to Braxton Berrios for 5 yards (tackle by Troy Reeder and Michael Brockers),5.370,5.530
2,8:31,2,3,LAR 3,10,0,Frank Gore left tackle for -4 yards (tackle by Aaron Donald),5.530,3.810
2,7:49,3,7,LAR 7,10,0,Sam Darnold pass incomplete short right,3.810,2.970
2,7:41,4,7,LAR 7,13,0,Sam Ficken 25 yard field goal good,2.970,3.000
2,7:37,,,NYJ 35,13,0,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
2,7:37,1,10,LAR 25,13,0,Darrell Henderson up the middle for -2 yards (tackle by Nathan Shepherd),0.610,-0.210
2,6:55,2,12,LAR 23,13,0,Jared Goff pass complete short right to Darrell Henderson for 5 yards (tackle by Bryce Hall),-0.210,-0.230
2,6:17,3,7,LAR 28,13,0,Jared Goff pass incomplete short left intended for Van Jefferson,-0.230,-1.500
2,6:10,4,7,LAR 28,13,0,"Johnny Hekker punts 41 yards, fair catch by Braxton Berrios at NYJ-31",-1.500,-1.000
2,6:04,1,10,NYJ 31,13,0,Frank Gore up the middle for 3 yards (tackle by Sebastian Joseph),1.000,0.870
2,5:27,2,7,NYJ 34,13,0,Sam Darnold pass complete short left to Ty Johnson for 2 yards (tackle by Kenny Young),0.870,0.430
2,4:46,3,5,NYJ 36,13,0,Sam Darnold pass complete short right to Ty Johnson for no gain (tackle by John Johnson and Troy Hill),0.430,-0.980
2,4:03,4,5,NYJ 36,13,0,"Braden Mann punts 42 yards, fair catch by Nsimba Webster at LA-22",-0.980,-0.410
2,3:55,1,10,LAR 22,13,0,Jared Goff pass complete short middle to Cooper Kupp for 16 yards (tackle by Javelin Guidry),0.410,1.470
2,3:32,1,10,LAR 38,13,0,Jared Goff pass complete short left to Cam Akers for -1 yards (tackle by Blessuan Austin),1.470,0.790
2,2:50,2,11,LAR 37,13,0,Cam Akers right guard for 3 yards (tackle by Marcus Maye),0.790,0.500
2,2:15,3,8,LAR 40,13,0,"Jared Goff pass incomplete deep left intended for Josh Reynolds. Penalty on Blessuan Austin: Face Mask (15 Yards), 15 yards (no play)",0.500,2.590
2,2:10,1,10,NYJ 45,13,0,Jared Goff pass incomplete short middle,2.590,2.040
2,2:06,2,10,NYJ 45,13,0,Jared Goff pass incomplete short middle intended for Cam Akers,2.040,1.360
2,2:01,3,10,NYJ 45,13,0,Jared Goff pass incomplete short left intended for Gerald Everett,1.360,0.270
2,1:55,4,10,NYJ 45,13,0,Johnny Hekker punts 35 yards out of bounds,0.270,0.380
2,1:48,1,10,NYJ 10,13,0,Ty Johnson up the middle for 6 yards (tackle by Troy Reeder and Sebastian Joseph),-0.380,-0.230
2,1:17,2,4,NYJ 16,13,0,Sam Darnold pass incomplete short right intended for Denzel Mims (defended by Leonard Floyd),-0.230,-0.720
2,1:10,3,4,NYJ 16,13,0,Ty Johnson up the middle for 3 yards (tackle by Troy Reeder),-0.720,-2.140
2,1:07,,,,,,Timeout #1 by Los Angeles Rams,,
2,1:07,4,1,NYJ 19,13,0,"Braden Mann punts 54 yards, returned by Nsimba Webster for 12 yards (tackle by Matthias Farley)",-2.140,-1.530
2,0:57,1,10,LAR 39,13,0,Jared Goff pass complete short right to Tyler Higbee for 3 yards (tackle by Harvey Langi),1.530,1.390
2,0:42,2,7,LAR 42,13,0,Jared Goff pass complete short middle to Tyler Higbee for 17 yards (tackle by Marcus Maye),1.390,2.850
2,0:36,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:36,1,10,NYJ 41,13,0,Jared Goff pass complete short left to Cooper Kupp for 6 yards (tackle by Blessuan Austin and Neville Hewitt),2.850,3.120
2,0:21,2,4,NYJ 35,13,0,Jared Goff pass complete short right to Robert Woods for 8 yards (tackle by Bryce Hall),3.120,3.780
2,0:18,1,10,NYJ 27,13,0,Jared Goff pass incomplete short middle intended for Tyler Higbee,3.780,3.230
2,0:14,2,10,NYJ 27,13,0,Jared Goff pass incomplete short middle,3.230,2.540
2,0:09,3,10,NYJ 27,13,0,Jared Goff pass incomplete short right,2.540,1.670
2,0:03,4,10,NYJ 27,13,3,Matt Gay 45 yard field goal good,1.670,3.000
Quarter,Time,Down,ToGo,Location,NYJ,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,13,3,"Matt Gay kicks off 61 yards, returned by Corey Ballentine for 24 yards (tackle by Samson Ebukam and J.R. Reed)",0.000,0.810
3,14:54,1,10,NYJ 28,13,3,Sam Darnold pass complete short right to Jamison Crowder for 10 yards,0.810,1.470
3,14:24,1,10,NYJ 38,13,3,"Sam Darnold sacked by Samson Ebukam for -3 yards. Sam Darnold fumbles, ball out of bounds at NYJ-35 (forced by Samson Ebukam)",1.470,0.520
3,13:49,2,13,NYJ 35,13,3,Sam Darnold pass complete short left to Denzel Mims for 11 yards (tackle by Jordan Fuller),0.520,1.290
3,13:25,3,2,NYJ 46,13,3,Frank Gore up the middle for 3 yards (tackle by Michael Brockers and Samson Ebukam),1.290,2.190
3,12:45,1,10,NYJ 49,13,3,Sam Darnold pass complete deep left to Breshad Perriman for 21 yards (tackle by Darious Williams),2.190,3.580
3,12:02,1,10,LAR 30,13,3,Frank Gore left tackle for 2 yards (tackle by Jordan Fuller and A'Shawn Robinson),3.580,3.300
3,11:24,2,8,LAR 28,13,3,Sam Darnold pass complete deep left to Chris Herndon for 22 yards (tackle by Jalen Ramsey),3.300,5.830
3,10:43,1,6,LAR 6,13,3,Frank Gore up the middle for 1 yard (tackle by Sebastian Joseph),5.830,5.150
