Unnamed: 0,SFO,STL
First Downs,12,19
Rush-Yds-TDs,21-85-0,28-60-1
Cmp-Att-Yd-TD-INT,17-34-273-1-1,28-37-292-1-0
Sacked-Yards,4-27,1-17
Net Pass Yards,246,275
Total Yards,331,335
Fumbles-Lost,5-1,2-1
Turnovers,2,1
Penalties-Yards,8-87,5-41
Third Down Conv.,4-16,4-14
Fourth Down Conv.,1-1,0-0
Time of Possession,26:52,33:08
