Quarter,Time,Tm,Detail,DAL,DEN
1.0,9:25,Broncos,Emmanuel Sanders 10 yard pass from Trevor Siemian (Brandon McManus kick),0,7
2.0,12:39,Cowboys,Dez Bryant 3 yard pass from Dak Prescott (Dan Bailey kick),7,7
,5:54,Broncos,C.J. Anderson 16 yard pass from Trevor Siemian (Brandon McManus kick),7,14
,1:38,Broncos,Emmanuel Sanders 6 yard pass from Trevor Siemian (Brandon McManus kick),7,21
,0:02,Cowboys,Dan Bailey 56 yard field goal,10,21
3.0,7:56,Broncos,Virgil Green 2 yard pass from Trevor Siemian (Brandon McManus kick),10,28
,6:14,Broncos,C.J. Anderson 23 yard rush (Brandon McManus kick),10,35
4.0,14:24,Cowboys,Jason Witten 28 yard pass from Dak Prescott (Dan Bailey kick),17,35
,0:53,Broncos,Aqib Talib 103 yard interception return (Brandon McManus kick),17,42
