Unnamed: 0,DAL,DEN
First Downs,16,26
Rush-Yds-TDs,14-40-0,39-178-1
Cmp-Att-Yd-TD-INT,30-50-238-2-2,22-32-231-4-1
Sacked-Yards,2-10,2-29
Net Pass Yards,228,202
Total Yards,268,380
Fumbles-Lost,0-0,2-1
Turnovers,2,2
Penalties-Yards,8-69,8-61
Third Down Conv.,3-14,9-15
Fourth Down Conv.,2-5,0-0
Time of Possession,26:10,33:50
