Quarter,Time,Tm,Detail,CHI,MIN
1.0,9:07,Vikings,Latavius Murray 1 yard rush (Kai Forbath kick),0,7
2.0,9:30,Vikings,Latavius Murray 1 yard rush (Kai Forbath kick),0,14
,5:50,Bears,Bryce Callahan 59 yard punt return (Mike Nugent kick),7,14
,2:25,Vikings,"Safety, Mitchell Trubisky penalty in end zone",7,16
3.0,0:14,Vikings,Stefon Diggs 15 yard pass from Case Keenum (Kai Forbath kick),7,23
4.0,8:22,Bears,Mike Nugent 55 yard field goal,10,23
