Unnamed: 0,CHI,MIN
First Downs,12,21
Rush-Yds-TDs,15-30-0,36-147-2
Cmp-Att-Yd-TD-INT,20-37-178-0-0,21-29-189-1-0
Sacked-Yards,1-7,2-9
Net Pass Yards,171,180
Total Yards,201,327
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,10-116,12-103
Third Down Conv.,1-12,5-13
Fourth Down Conv.,0-2,0-0
Time of Possession,24:05,35:55
