Unnamed: 0,JAX,SEA
First Downs,10,24
Rush-Yds-TDs,15-38-0,40-143-0
Cmp-Att-Yd-TD-INT,19-32-190-0-0,18-30-241-4-0
Sacked-Yards,5-29,1-5
Net Pass Yards,161,236
Total Yards,199,379
Fumbles-Lost,2-2,2-0
Turnovers,2,0
Penalties-Yards,9-73,1-10
Third Down Conv.,2-13,6-14
Fourth Down Conv.,1-2,1-1
Time of Possession,25:16,34:44
