Unnamed: 0,NYG,CAR
First Downs,15,22
Rush-Yds-TDs,35-135-0,15-45-0
Cmp-Att-Yd-TD-INT,17-33-172-3-0,34-61-423-1-3
Sacked-Yards,1-0,2-5
Net Pass Yards,172,418
Total Yards,307,463
Fumbles-Lost,3-0,1-0
Turnovers,0,3
Penalties-Yards,2-10,7-37
Third Down Conv.,4-18,5-16
Fourth Down Conv.,2-2,0-2
Time of Possession,30:25,29:35
