Unnamed: 0,BUF,KAN
First Downs,13,16
Rush-Yds-TDs,35-200-0,26-145-1
Cmp-Att-Yd-TD-INT,12-20-86-1-1,26-43-224-0-4
Sacked-Yards,2-13,3-15
Net Pass Yards,73,209
Total Yards,273,354
Fumbles-Lost,2-2,2-0
Turnovers,3,4
Penalties-Yards,3-40,5-43
Third Down Conv.,3-12,7-18
Fourth Down Conv.,0-0,1-4
Time of Possession,30:34,29:26
