Quarter,Time,Down,ToGo,Location,BUF,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 63 yards, returned by Lance Long for 21 yards (tackle by Ashlee Palmer)",0.000,0.810
1,14:55,1,10,KAN 28,0,0,Matt Cassel pass complete short right to Mike Cox for 2 yards (tackle by Bryan Scott),0.810,0.530
1,14:18,2,8,KAN 30,0,0,Lance Long left end for -1 yards (tackle by Reggie Corner),0.530,-0.300
1,13:56,3,9,KAN 29,0,0,"Matt Cassel sacked by Chris Kelsay for 0 yards. Matt Cassel fumbles (forced by Chris Kelsay), recovered by Ryan O'Callaghan at KAN-26",-0.300,-1.630
1,13:23,4,12,KAN 26,0,0,Dustin Colquitt punts 38 yards,-1.630,-1.330
1,13:10,1,10,BUF 36,0,0,Fred Jackson middle for 1 yard (tackle by Ron Edwards and Brandon Flowers),1.330,0.930
1,12:37,2,9,BUF 37,0,0,Ryan Fitzpatrick middle for 7 yards (tackle by Mike Vrabel),0.930,1.160
1,11:59,3,2,BUF 44,0,0,Ryan Fitzpatrick pass incomplete short left intended for Terrell Owens (defended by Brandon Carr),1.160,-0.460
1,11:54,4,2,BUF 44,0,0,"Brian Moorman punts 46 yards, fair catch by Bobby Wade",-0.460,0.380
1,11:45,1,10,KAN 10,0,0,Jamaal Charles right guard for 2 yards (tackle by Nate Harris and Marcus Stroud),-0.380,-0.630
1,11:16,2,8,KAN 12,0,0,Matt Cassel pass complete short left to Bobby Wade for -1 yards (tackle by Donte Whitner). Penalty on Rudy Niswanger: Ineligible Downfield Pas (Declined),-0.630,-1.300
1,11:02,3,9,KAN 11,0,0,Matt Cassel pass complete deep middle to Brad Cottam for 26 yards (tackle by Jairus Byrd),-1.300,1.400
1,10:20,1,10,KAN 37,0,0,Matt Cassel pass complete short right to Leonard Pope for 9 yards (tackle by Terrence McGee),1.400,2.070
1,9:51,2,1,KAN 46,0,0,Tim Castille middle for 9 yards (tackle by Paul Posluszny and George Wilson),2.070,2.590
1,9:21,1,10,BUF 45,0,0,Matt Cassel pass complete short right to Bobby Wade for 6 yards,2.590,2.850
1,9:02,2,4,BUF 39,0,0,Jamaal Charles middle for 3 yards (tackle by Paul Posluszny and Aaron Maybin),2.850,2.540
1,8:34,3,1,BUF 36,0,0,Matt Cassel pass complete short left to Jamaal Charles for 2 yards (tackle by George Wilson),2.540,3.310
1,8:11,1,10,BUF 34,0,0,Matt Cassel right end for 1 yard (tackle by Donte Whitner),3.310,2.910
1,7:46,2,9,BUF 33,0,0,Matt Cassel pass complete short left to Lance Long for -2 yards (tackle by George Wilson and Aaron Schobel),2.910,1.950
1,7:20,3,11,BUF 35,0,0,Matt Cassel pass incomplete short middle intended for Leonard Pope,1.950,0.970
1,7:16,4,11,BUF 35,0,0,"Dustin Colquitt punts 27 yards, fair catch by Roscoe Parrish",0.970,0.380
1,7:08,1,10,BUF 9,0,0,Fred Jackson middle for 3 yards (tackle by Glenn Dorsey),-0.380,-0.560
1,6:38,2,7,BUF 12,0,0,Fred Jackson right tackle for 4 yards (tackle by Corey Mays),-0.560,-0.600
1,6:00,3,3,BUF 16,0,0,"Ryan Fitzpatrick sacked by Mike Vrabel for -7 yards. Ryan Fitzpatrick fumbles (forced by Mike Vrabel), recovered by Ron Edwards at BUF-9 (tackle by Kirk Chambers)",-0.600,-5.140
1,5:48,1,9,BUF 9,0,0,Jamaal Charles left tackle for 2 yards (tackle by Paul Posluszny),5.140,4.760
1,5:18,2,7,BUF 7,0,0,Jamaal Charles middle for 2 yards (tackle by Nate Harris and Kyle Williams),4.760,4.260
1,4:47,3,5,BUF 5,0,0,Jamaal Charles right guard for 4 yards (tackle by Kyle Williams and Marcus Stroud),4.260,3.550
1,4:00,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,3.550
1,4:00,4,1,BUF 1,0,0,--,3.550,0.380
1,3:54,1,10,BUF 8,0,0,Marshawn Lynch right end for 47 yards (tackle by Mike Brown),-0.380,2.590
1,3:21,1,10,KAN 45,0,0,Marshawn Lynch right guard for 5 yards (tackle by Jon McGraw and Brandon Flowers),2.590,2.720
1,2:42,2,5,KAN 40,0,0,Ryan Fitzpatrick pass complete short right to Shawn Nelson for 17 yards (tackle by Demorrio Williams),2.720,4.040
1,2:10,1,10,KAN 23,0,0,Fred Jackson right guard for 6 yards (tackle by Brandon Flowers and Corey Mays),4.040,4.380
1,1:28,2,4,KAN 17,0,0,Fred Jackson middle for 6 yards (tackle by Alex Magee),4.380,4.840
