Quarter,Time,Tm,Detail,SFO,LAR
1.0,6:52,Rams,Matt Gay 48 yard field goal,0,3
,4:10,49ers,Raheem Mostert 8 yard rush (Robbie Gould kick),7,3
3.0,14:22,49ers,Javon Kinlaw 27 yard interception return (Robbie Gould kick),14,3
,4:30,49ers,Robbie Gould 46 yard field goal,17,3
,2:38,Rams,Matt Gay 41 yard field goal,17,6
,2:32,Rams,Troy Hill 20 yard fumble return (Matt Gay kick),17,13
4.0,14:17,Rams,Cam Akers 1 yard rush (Matt Gay kick),17,20
,3:11,49ers,Robbie Gould 44 yard field goal,20,20
,0:00,49ers,Robbie Gould 42 yard field goal,23,20
