Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SFO 25,0,0,Nick Mullens pass complete short right to Kyle Juszczyk for 4 yards (tackle by John Johnson),0.610,0.600
1,14:31,2,6,SFO 29,0,0,Raheem Mostert right guard for 4 yards (tackle by Leonard Floyd and Sebastian Joseph),0.600,0.430
1,13:46,3,2,SFO 33,0,0,Nick Mullens pass incomplete short middle intended for Jordan Reed,0.430,-1.180
1,13:42,4,2,SFO 33,0,0,"Mitch Wishnowsky punts 54 yards, fair catch by Nsimba Webster at LA-13",-1.180,0.320
1,13:35,1,10,LAR 13,0,0,Darrell Henderson right tackle for 2 yards (tackle by Jamar Taylor),-0.320,-0.570
1,13:11,2,8,LAR 15,0,0,Jared Goff pass complete short right to Robert Woods for 11 yards (tackle by Richard Sherman and Dre Greenlaw),-0.570,0.670
1,12:50,1,10,LAR 26,0,0,Jared Goff pass complete short left to Josh Reynolds for 7 yards (tackle by Jason Verrett),0.670,1.070
1,12:20,2,3,LAR 33,0,0,Darrell Henderson right end for -3 yards (tackle by Kevin Givens and Arik Armstead),1.070,-0.030
1,11:36,3,6,LAR 30,0,0,Jared Goff pass complete short right to Malcolm Brown for 11 yards (tackle by Fred Warner),-0.030,1.660
1,11:14,1,10,LAR 41,0,0,"Jared Goff pass complete short middle to Malcolm Brown for 4 yards (tackle by Jimmie Ward). Malcolm Brown fumbles (forced by Jimmie Ward), recovered by Kevin Givens at SF-49",1.660,-2.190
1,11:05,1,10,SFO 49,0,0,Raheem Mostert up the middle for 6 yards (tackle by Michael Brockers),2.190,2.460
1,10:29,2,4,LAR 45,0,0,Raheem Mostert right end for 7 yards (tackle by Troy Reeder),2.460,3.050
1,9:49,1,10,LAR 38,0,0,Jeff Wilson up the middle for 3 yards (tackle by Aaron Donald and Sebastian Joseph),3.050,2.910
1,9:18,2,7,LAR 35,0,0,Nick Mullens pass short right (defended by Aaron Donald) intended for Deebo Samuel is intercepted by Jordan Fuller at LA-27 and returned for 2 yards,2.910,-0.870
