Unnamed: 0,SFO,LAR
First Downs,18,14
Rush-Yds-TDs,33-112-1,28-126-1
Cmp-Att-Yd-TD-INT,24-35-252-0-1,19-31-198-0-2
Sacked-Yards,2-19,2-16
Net Pass Yards,233,182
Total Yards,345,308
Fumbles-Lost,3-2,2-2
Turnovers,3,4
Penalties-Yards,5-40,3-27
Third Down Conv.,3-14,4-13
Fourth Down Conv.,1-1,0-0
Time of Possession,34:03,25:57
