Quarter,Time,Down,ToGo,Location,TEN,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Randy Bullock kicks off 65 yards, touchback.",,
1,15:00,1,10,SEA 25,0,0,Chris Carson left tackle for 2 yards (tackle by Bud Dupree),,
1,14:31,2,8,SEA 27,0,0,Russell Wilson pass incomplete short left intended for D.K. Metcalf,,
1,14:25,3,8,SEA 27,0,0,Russell Wilson scrambles right end for 7 yards (tackle by Denico Autry),,
1,14:15,4,1,SEA 34,0,0,"Michael Dickson punts 66 yards, touchback.",,
1,13:40,1,10,TEN 20,0,0,Derrick Henry right guard for 1 yard (tackle by Poona Ford and Quandre Diggs),,
1,13:02,2,9,TEN 21,0,0,Derrick Henry right tackle for -2 yards (tackle by Poona Ford),,
1,12:21,3,11,TEN 19,0,0,Ryan Tannehill pass complete short middle to Chester Rogers for 10 yards (tackle by Bobby Wagner),,
1,11:32,4,1,TEN 29,0,0,Brett Kern punts 41 yards out of bounds,,
1,11:23,1,10,SEA 30,0,0,Russell Wilson pass complete deep left to Tyler Lockett for 51 yards (tackle by Bradley McDougald),,
1,10:52,1,10,TEN 19,0,0,Chris Carson up the middle for 5 yards (tackle by Kevin Byard),,
1,10:21,2,6,TEN 15,0,0,Chris Carson up the middle for 1 yard (tackle by Teair Tart and Harold Landry),,
1,9:38,3,4,TEN 13,0,0,Russell Wilson pass incomplete short right intended for Tyler Lockett,,
1,9:30,4,4,TEN 13,0,3,Jason Myers 31 yard field goal good,,
1,9:25,,,SEA 35,0,3,"Jason Myers kicks off 69 yards, returned by Chester Rogers for 19 yards (tackle by Travis Homer)",,
1,9:21,1,10,TEN 15,0,3,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 6 yards (tackle by D.J. Reed and Benson Mayowa),,
1,8:40,2,4,TEN 21,0,3,Derrick Henry right tackle for 2 yards (tackle by Kerry Hyder),,
1,7:55,3,2,TEN 23,0,3,"Penalty on Rasheem Green: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,7:35,1,10,TEN 28,0,3,Ryan Tannehill pass incomplete deep left intended for A.J. Brown,,
1,7:32,2,10,TEN 28,0,3,Derrick Henry right guard for 7 yards (tackle by Quandre Diggs and Ugo Amadi),,
1,6:49,3,3,TEN 35,0,3,Ryan Tannehill pass complete short right to Tommy Hudson for 14 yards (tackle by D.J. Reed),,
1,6:14,1,10,TEN 49,0,3,Ryan Tannehill pass complete short middle to A.J. Brown for 13 yards (tackle by Quandre Diggs),,
1,5:33,1,10,SEA 38,0,3,Derrick Henry left end for no gain (tackle by Al Woods and Jamal Adams),,
1,4:49,2,10,SEA 38,0,3,Ryan Tannehill pass complete short right to Geoff Swaim for 5 yards (tackle by Jamal Adams),,
1,4:11,3,5,SEA 33,0,3,Ryan Tannehill pass complete to Julio Jones for 17 yards (tackle by Tre Flowers),,
1,3:37,,,,,,Timeout #1 by Seattle Seahawks,,
1,3:37,1,10,SEA 16,0,3,Derrick Henry right guard for 1 yard (tackle by Jordyn Brooks and Robert Nkemdiche),,
1,3:16,2,9,SEA 15,0,3,Ryan Tannehill pass incomplete short right intended for Chester Rogers,,
1,2:55,3,9,SEA 15,0,3,Ryan Tannehill pass incomplete short left intended for A.J. Brown,,
1,2:50,4,9,SEA 15,3,3,Randy Bullock 33 yard field goal good,,
1,2:45,,,TEN 35,3,3,"Randy Bullock kicks off 65 yards, touchback.",,
1,2:45,1,10,SEA 25,3,3,Chris Carson right end for no gain (tackle by Elijah Molden and Rashaan Evans),,
1,2:18,2,10,SEA 25,3,3,Russell Wilson pass complete short right to D.K. Metcalf for 4 yards (tackle by Harold Landry),,
1,1:31,3,6,SEA 29,3,3,Russell Wilson pass complete short right to Freddie Swain for 9 yards (tackle by Jackrabbit Jenkins and Dane Cruikshank),,
1,0:50,1,10,SEA 38,3,3,Chris Carson up the middle for 2 yards (tackle by Harold Landry),,
1,0:12,2,8,SEA 40,3,3,Russell Wilson pass complete short right to D.K. Metcalf for 4 yards (tackle by Jackrabbit Jenkins),,
Quarter,Time,Down,ToGo,Location,TEN,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,SEA 44,3,3,Russell Wilson pass incomplete short right intended for D.K. Metcalf (defended by Jackrabbit Jenkins),,
2,14:54,4,4,SEA 44,3,3,"Michael Dickson punts. Penalty on Nick Westbrook-Ikhine: Roughing the Kicker, 15 yards (accepted) (no play)",,
2,14:46,1,10,TEN 41,3,3,Russell Wilson sacked by Denico Autry for -4 yards,,
2,14:11,2,14,TEN 45,3,3,"Penalty on Brandon Shell: False Start, 5 yards (accepted) (no play)",,
2,13:58,2,19,TEN 50,3,3,"Russell Wilson pass complete short left to Freddie Swain for 5 yards (tackle by Harold Landry and David Long). Penalty on D.K. Metcalf: Offensive Holding, 10 yards (declined)",,
2,13:24,3,14,TEN 45,3,3,Russell Wilson sacked by and Jeffery Simmons for -7 yards and Denico Autry for -7 yards,,
2,12:52,4,21,SEA 48,3,3,"Michael Dickson punts 52 yards, touchback.",,
2,12:47,1,10,TEN 20,3,3,Derrick Henry up the middle for 4 yards (tackle by Al Woods),,
2,12:03,2,6,TEN 24,3,3,Ryan Tannehill pass complete deep middle to Julio Jones for 51 yards (tackle by Tre Flowers),,
2,11:27,1,10,SEA 25,3,3,Ryan Tannehill pass complete short right to Julio Jones for 15 yards (tackle by Bobby Wagner),,
2,10:44,1,10,SEA 10,3,3,"Derrick Henry left guard for no gain (tackle by Quandre Diggs and Bobby Wagner). Penalty on Josh Reynolds: Illegal Motion, 5 yards (accepted) (no play)",,
2,10:12,1,15,SEA 15,3,3,Ryan Tannehill scrambles right end for 7 yards (tackle by Bobby Wagner),,
2,9:45,2,8,SEA 8,3,3,Derrick Henry left guard for 3 yards (tackle by Benson Mayowa and Robert Nkemdiche),,
2,9:00,3,5,SEA 5,3,3,Ryan Tannehill sacked by Bobby Wagner for -7 yards,,
2,8:22,4,12,SEA 12,6,3,Randy Bullock 30 yard field goal good,,
2,8:18,,,TEN 35,6,3,"Randy Bullock kicks off 59 yards, returned by DeeJay Dallas for 5 yards (tackle by Nick Dzubnar and Olasunkanmi Adeniyi)",,
2,8:10,1,10,SEA 17,6,3,Russell Wilson pass complete short middle to D.K. Metcalf for 16 yards (tackle by Elijah Molden and Rashaan Evans),,
2,7:28,1,10,SEA 33,6,3,Chris Carson up the middle for 4 yards (tackle by David Long and Rashaan Evans),,
2,6:48,2,6,SEA 37,6,9,"Russell Wilson pass complete deep left to Tyler Lockett for 63 yards, touchdown",,
2,6:34,,,TEN 15,6,10,Jason Myers kicks extra point good,,
2,6:34,,,SEA 35,6,10,"Jason Myers kicks off 63 yards, returned by Chester Rogers for 14 yards (tackle by Ryan Neal)",,
2,6:30,1,10,TEN 16,6,10,Derrick Henry left guard for 2 yards (tackle by Bobby Wagner and Jordyn Brooks),,
2,5:57,2,8,TEN 18,6,10,"Ryan Tannehill sacked by Alton Robinson for -12 yards. Ryan Tannehill fumbles (forced by Alton Robinson), recovered by Kerry Hyder at TEN-6 (tackle by Alton Robinson)",,
2,5:48,1,6,TEN 6,6,10,Chris Carson left end for 4 yards (tackle by Rashaan Evans),,
2,5:25,2,2,TEN 2,6,16,"Chris Carson up the middle for 2 yards, touchdown",,
2,5:22,,,TEN 15,6,17,Jason Myers kicks extra point good,,
2,5:20,,,SEA 35,6,17,"Penalty on Gabe Jackson: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",,
2,5:20,,,SEA 20,6,17,"Jason Myers kicks off 68 yards, returned by Chester Rogers for 19 yards (tackle by DeeJay Dallas and Cody Barton)",,
2,5:12,1,10,TEN 31,6,17,Derrick Henry right guard for 4 yards (tackle by Jamal Adams),,
2,4:35,2,6,TEN 35,6,17,Ryan Tannehill pass complete short left to Derrick Henry for 15 yards (tackle by Quandre Diggs),,
2,3:52,1,10,SEA 50,6,17,Ryan Tannehill pass complete short left to Julio Jones for 19 yards (tackle by Tre Flowers and Jordyn Brooks),,
2,3:05,1,10,SEA 31,6,17,Derrick Henry left tackle for 8 yards (tackle by D.J. Reed and Quandre Diggs),,
2,2:22,2,2,SEA 23,6,17,"Ryan Tannehill pass incomplete deep right. Penalty on Robert Nkemdiche: Roughing the Passer, 12 yards (accepted) (no play)",,
2,2:19,1,10,SEA 11,6,17,Derrick Henry for 4 yards (tackle by Robert Nkemdiche and Bobby Wagner),,
2,2:00,2,6,SEA 7,6,17,Derrick Henry up the middle for 1 yard (tackle by Poona Ford and Al Woods),,
2,1:09,3,5,SEA 6,6,17,"Ryan Tannehill pass complete short left to Julio Jones for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Ryan Tannehill pass incomplete short left intended for Julio Jones",,
2,1:09,4,5,SEA 6,9,17,Randy Bullock 24 yard field goal good,,
2,1:05,,,TEN 35,9,17,"Randy Bullock kicks off 65 yards, touchback.",,
2,1:05,1,10,SEA 25,9,17,Russell Wilson pass complete short right to Travis Homer for 11 yards (tackle by Chris Jackson),,
2,0:59,1,10,SEA 36,9,17,Russell Wilson pass complete short right to Tyler Lockett for 8 yards (tackle by Jackrabbit Jenkins),,
2,0:56,2,2,SEA 44,9,17,Russell Wilson pass complete short left to Freddie Swain for 12 yards (tackle by Chris Jackson),,
2,0:51,,,,,,Timeout #1 by Tennessee Titans,,
2,0:51,1,10,TEN 44,9,17,Russell Wilson pass complete short left to D.K. Metcalf for 8 yards,,
2,0:48,2,2,TEN 36,9,17,Alex Collins up the middle for 25 yards (tackle by Bradley McDougald),,
2,0:24,1,10,TEN 11,9,17,Russell Wilson pass incomplete intended for D.K. Metcalf,,
2,0:21,2,10,TEN 11,9,17,"Russell Wilson pass incomplete short right intended for Tyler Lockett. Penalty on Chris Jackson: Defensive Pass Interference, 10 yards (accepted) (no play)",,
2,0:21,,,,,,Timeout #2 by Tennessee Titans,,
2,0:21,1,1,TEN 1,9,23,"Chris Carson up the middle for 1 yard, touchdown",,
2,0:17,,,TEN 15,9,24,Jason Myers kicks extra point good,,
2,0:17,,,SEA 35,9,24,"Jason Myers kicks off 51 yards, returned by Chester Rogers for 13 yards (tackle by Nick Bellore)",,
2,0:12,1,10,TEN 27,9,24,Ryan Tannehill kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,TEN,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,9,24,"Jason Myers kicks off 64 yards, returned by Chester Rogers for 19 yards (tackle by Nick Bellore and Darrell Taylor)",,
3,14:55,1,10,TEN 20,9,24,Derrick Henry right end for 11 yards (tackle by Bobby Wagner and D.J. Reed),,
3,14:17,1,10,TEN 31,9,24,Derrick Henry right guard for 3 yards (tackle by Quandre Diggs),,
3,13:50,2,7,TEN 34,9,24,Ryan Tannehill pass complete short middle to MyCole Pruitt for 6 yards (tackle by Bobby Wagner),,
3,13:20,3,1,TEN 40,9,24,Derrick Henry up the middle for 4 yards (tackle by Jamal Adams),,
3,12:32,1,10,TEN 44,9,24,Ryan Tannehill pass complete short left to A.J. Brown for 15 yards (tackle by Tre Flowers),,
3,11:55,1,10,SEA 41,9,24,Derrick Henry right guard for -2 yards (tackle by Kerry Hyder and Al Woods),,
3,11:15,2,12,SEA 43,9,24,"Ryan Tannehill pass complete short middle to MyCole Pruitt for 15 yards (tackle by Jordyn Brooks). Penalty on Jordyn Brooks: Unnecessary Roughness / Defense, 14 yards (accepted)",,
3,10:46,1,10,SEA 14,9,24,"Ryan Tannehill pass incomplete short middle intended for MyCole Pruitt (defended by Jamal Adams). Penalty on Cody Barton: Defensive Holding, 5 yards (accepted) (no play)",,
3,10:46,1,9,SEA 9,15,24,"Derrick Henry left end for 9 yards, touchdown",,
3,10:37,,,SEA 15,16,24,Randy Bullock kicks extra point good,,
3,10:37,,,TEN 35,16,24,"Randy Bullock kicks off 61 yards, returned by DeeJay Dallas for 7 yards (tackle by Racey McMath and Nick Westbrook-Ikhine)",,
3,10:31,1,10,SEA 11,16,24,Chris Carson right guard for 8 yards (tackle by David Long and Chris Jackson),,
3,10:04,2,2,SEA 19,16,24,Russell Wilson pass complete short left to Tyler Lockett for 1 yard (tackle by Chris Jackson),,
3,9:27,3,1,SEA 20,16,24,Chris Carson left end for 1 yard (tackle by Dane Cruikshank),,
3,8:59,1,10,SEA 21,16,24,Russell Wilson pass complete short middle to D.K. Metcalf for 14 yards (tackle by Jackrabbit Jenkins),,
3,8:26,1,10,SEA 35,16,24,Russell Wilson pass complete short right to Tyler Lockett for 10 yards,,
3,7:45,1,10,SEA 45,16,24,Russell Wilson for -3 yards (tackle by Larrell Murchison),,
3,7:03,2,13,SEA 42,16,24,Russell Wilson pass complete short right to Tyler Lockett for 11 yards (tackle by Jackrabbit Jenkins),,
3,6:22,,,,,,Timeout #1 by Seattle Seahawks,,
3,6:22,3,2,TEN 47,16,24,Chris Carson right tackle for -1 yards (tackle by David Long and Teair Tart),,
3,5:49,4,3,TEN 48,16,24,"Michael Dickson punts 40 yards, fair catch by Chester Rogers at TEN-8",,
3,5:41,1,10,TEN 8,16,24,Derrick Henry right guard for 2 yards (tackle by Al Woods),,
3,5:01,2,8,TEN 10,16,24,Ryan Tannehill pass complete deep middle to MyCole Pruitt for 22 yards (tackle by Quandre Diggs and Jamal Adams),,
3,4:14,1,10,TEN 32,16,24,Ryan Tannehill pass complete short left to Derrick Henry for 12 yards (tackle by Bobby Wagner),,
3,3:40,1,10,TEN 44,16,24,Derrick Henry up the middle for 6 yards (tackle by Robert Nkemdiche),,
3,3:05,2,4,SEA 50,16,24,Derrick Henry right tackle for 7 yards (tackle by Quandre Diggs and D.J. Reed),,
3,2:14,1,10,SEA 43,16,24,Ryan Tannehill pass incomplete short middle intended for A.J. Brown,,
3,2:10,2,10,SEA 43,16,24,Ryan Tannehill pass incomplete short left intended for Julio Jones,,
3,2:05,3,10,SEA 43,16,24,Ryan Tannehill pass complete short middle to Chester Rogers for 12 yards (tackle by Bobby Wagner and Cody Barton),,
3,1:18,1,10,SEA 31,16,24,Derrick Henry up the middle for no gain (tackle by Rasheem Green and Robert Nkemdiche),,
3,0:45,2,10,SEA 31,16,24,Ryan Tannehill pass complete short middle to Geoff Swaim for 5 yards (tackle by Bobby Wagner),,
3,0:08,3,5,SEA 26,16,24,Ryan Tannehill pass incomplete short left,,
3,0:01,4,5,SEA 26,16,24,Randy Bullock 44 yard field goal no good,,
Quarter,Time,Down,ToGo,Location,TEN,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 34,16,24,"Russell Wilson pass complete short left to Chris Carson for no gain (tackle by Kevin Byard). Penalty on D.K. Metcalf: Offensive Holding, 10 yards (declined) . Penalty on D.K. Metcalf: Offensive Pass Interference, 10 yards (accepted) (no play)",,
4,14:30,1,20,SEA 24,16,24,Russell Wilson pass complete short left to Freddie Swain for 1 yard (tackle by Chris Jackson),,
4,13:52,2,19,SEA 25,16,24,Russell Wilson pass complete short middle to Tyler Lockett for 7 yards (tackle by David Long),,
4,13:16,3,13,SEA 32,16,30,"Russell Wilson pass complete deep left to Freddie Swain for 68 yards, touchdown",,
4,13:06,,,TEN 15,16,30,Jason Myers kicks extra point no good,,
4,13:06,,,SEA 35,16,30,"Jason Myers kicks off 65 yards, touchback.",,
4,13:06,1,10,TEN 25,16,30,Ryan Tannehill pass complete short middle to A.J. Brown for 15 yards (tackle by Quandre Diggs and Jordyn Brooks),,
4,12:26,1,10,TEN 40,22,30,"Derrick Henry left end for 60 yards, touchdown",,
4,12:17,,,SEA 15,23,30,Randy Bullock kicks extra point good,,
4,12:17,,,TEN 35,23,30,"Randy Bullock kicks off 65 yards, touchback.",,
4,12:17,1,10,SEA 25,23,30,Freddie Swain right end for 5 yards (tackle by Dane Cruikshank),,
4,11:46,2,5,SEA 30,23,30,Russell Wilson pass complete short left to Gerald Everett for 3 yards (tackle by Kevin Byard and Jackrabbit Jenkins),,
4,11:01,3,2,SEA 33,23,30,Russell Wilson pass incomplete deep left intended for D.K. Metcalf (defended by Kristian Fulton),,
4,10:57,4,2,SEA 33,23,30,"Michael Dickson punts 59 yards, returned by Chester Rogers for 10 yards (tackle by DeeJay Dallas)",,
4,10:43,1,10,TEN 18,23,30,Derrick Henry right tackle for 3 yards (tackle by Al Woods),,
4,10:15,2,7,TEN 21,23,30,Derrick Henry right tackle for 6 yards (tackle by D.J. Reed),,
4,9:42,3,2,TEN 27,23,30,Ryan Tannehill up the middle for 2 yards (tackle by Poona Ford),,
4,9:02,1,10,TEN 29,23,30,Ryan Tannehill pass incomplete short left intended for A.J. Brown,,
4,8:50,2,10,TEN 29,23,30,Ryan Tannehill scrambles right guard for 19 yards (tackle by Ugo Amadi),,
4,8:04,1,10,TEN 48,23,30,Ryan Tannehill pass incomplete deep right intended for A.J. Brown,,
4,8:03,2,10,TEN 48,23,30,"Penalty on D.J. Reed: Taunting / Defense, 15 yards (accepted) (no play)",,
4,8:00,1,10,SEA 37,23,30,Derrick Henry right tackle for no gain (tackle by Benson Mayowa and Rasheem Green),,
4,7:21,2,10,SEA 37,23,30,Ryan Tannehill sacked by Al Woods for -8 yards,,
4,6:36,3,18,SEA 45,23,30,Ryan Tannehill pass complete short right to Julio Jones for 16 yards (tackle by D.J. Reed and Jamal Adams),,
4,5:54,4,2,SEA 29,23,30,Ryan Tannehill pass incomplete short right intended for Tommy Hudson,,
4,5:46,1,10,SEA 30,23,30,Chris Carson right tackle for 2 yards (tackle by Harold Landry and David Long),,
4,5:10,2,8,SEA 32,23,30,Russell Wilson pass incomplete short right intended for Tyler Lockett,,
4,5:05,3,8,SEA 32,23,30,Russell Wilson pass complete short left to D.K. Metcalf for 7 yards (tackle by Harold Landry and Kevin Byard),,
4,2:00,4,1,SEA 39,23,30,"Penalty on Damien Lewis: False Start, 4 yards (accepted) (no play)",,
