Quarter,Time,Tm,Detail,TEN,SEA
1,9:25,Seahawks,Jason Myers 31 yard field goal,0,3
,2:45,Titans,Randy Bullock 33 yard field goal,3,3
2,8:18,Titans,Randy Bullock 30 yard field goal,6,3
,6:34,Seahawks,Tyler Lockett 63 yard pass from Russell Wilson (Jason Myers kick),6,10
,5:22,Seahawks,Chris Carson 2 yard rush (Jason Myers kick),6,17
,1:05,Titans,Randy Bullock 24 yard field goal,9,17
,0:17,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),9,24
3,10:37,Titans,Derrick Henry 9 yard rush (Randy Bullock kick),16,24
4,13:06,Seahawks,Freddie Swain 68 yard pass from Russell Wilson (Jason Myers kick failed),16,30
,12:17,Titans,Derrick Henry 60 yard rush (Randy Bullock kick),23,30
,0:29,Titans,Derrick Henry 1 yard rush (Randy Bullock kick),30,30
OT,4:45,Titans,Randy Bullock 36 yard field goal,33,30
