Unnamed: 0,GNB,CHI
First Downs,26,10
Rush-Yds-TDs,24-100-1,31-141-0
Cmp-Att-Yd-TD-INT,31-58-277-0-2,6-17-68-0-1
Sacked-Yards,2-19,3-19
Net Pass Yards,258,49
Total Yards,358,190
Fumbles-Lost,4-2,3-1
Turnovers,4,2
Penalties-Yards,9-70,4-61
Third Down Conv.,5-16,0-10
Fourth Down Conv.,3-4,0-0
Time of Possession,34:47,25:13
