Quarter,Time,Tm,Detail,KAN,NYJ
2,13:07,Jets,Thomas Jones 15 yard pass from Kellen Clemens (Mike Nugent kick),0,7
,5:08,Chiefs,John Carney 40 yard field goal,3,7
,0:13,Jets,Mike Nugent 27 yard field goal,3,10
4,2:59,Chiefs,Jeff Webb 26 yard pass from Brodie Croyle (John Carney kick),10,10
OT,9:47,Jets,Mike Nugent 43 yard field goal,10,13
