Quarter,Time,Down,ToGo,Location,KAN,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"John Carney kicks off 49 yards, returned by David Bowens for 17 yards (tackle by Rashad Barksdale)",0.000,1.470
1,14:55,1,10,NYJ 38,0,0,Kellen Clemens sacked by Tamba Hali for -1 yards,1.470,0.790
1,14:27,2,11,NYJ 37,0,0,Leon Washington for 12 yards (tackle by Bernard Pollard and Benny Sapp),0.790,2.190
1,13:49,1,10,NYJ 49,0,0,Kellen Clemens pass incomplete short left intended for Jerricho Cotchery (defended by Benny Sapp),2.190,1.650
1,13:45,2,10,NYJ 49,0,0,Kellen Clemens pass complete short left to Wallace Wright for 11 yards (tackle by Bernard Pollard),1.650,2.920
1,13:17,1,10,KAN 40,0,0,Thomas Jones right tackle for -2 yards (tackle by Tamba Hali),2.920,2.100
1,12:42,2,12,KAN 42,0,0,Kellen Clemens middle for 7 yards,2.100,2.340
1,12:00,3,5,KAN 35,0,0,Kellen Clemens pass incomplete short left intended for Leon Washington,2.340,0.980
1,11:54,4,5,KAN 35,0,0,Kellen Clemens pass incomplete short right intended for Justin McCareins,0.980,-1.270
1,11:48,1,10,KAN 35,0,0,Kolby Smith left tackle for 1 yard (tackle by Hank Poteat),1.270,0.860
1,11:11,2,9,KAN 36,0,0,Brodie Croyle pass complete short right to Kolby Smith for 7 yards (tackle by Eric Smith and David Barrett),0.860,1.090
1,10:32,3,2,KAN 43,0,0,Kolby Smith left end for no gain (tackle by Eric Smith and David Harris),1.090,-0.520
1,10:32,4,2,KAN 43,0,0,Dustin Colquitt punts 47 yards,-0.520,0.380
1,9:41,1,10,NYJ 10,0,0,Thomas Jones right tackle for 6 yards (tackle by Donnie Edwards and Bernard Pollard),-0.380,-0.230
1,8:44,2,4,NYJ 16,0,0,Thomas Jones left end for 6 yards (tackle by Ty Law and Donnie Edwards),-0.230,0.410
1,8:31,1,10,NYJ 22,0,0,Kellen Clemens pass incomplete deep middle intended for Jerricho Cotchery (defended by Derrick Johnson),0.410,-0.130
1,8:23,2,10,NYJ 22,0,0,Thomas Jones right guard for 3 yards (tackle by Keyaron Fox),-0.130,-0.430
1,7:44,3,7,NYJ 25,0,0,Kellen Clemens left end for 6 yards (tackle by Tamba Hali),-0.430,-1.310
1,7:01,4,1,NYJ 31,0,0,"Ben Graham punts 56 yards, returned by Eddie Drummond for 8 yards (tackle by Erik Coleman)",-1.310,-0.340
1,6:52,1,10,KAN 21,0,0,Jackie Battle left tackle for 2 yards (tackle by David Harris and Kenyon Coleman),0.340,0.070
1,6:15,2,8,KAN 23,0,0,Brodie Croyle pass incomplete short right intended for Tony Gonzalez,0.070,-0.630
1,6:15,3,8,KAN 23,0,0,"Penalty on John Welbourn: False Start, 5 yards (no play)",-0.630,-1.410
1,6:10,3,13,KAN 18,0,0,Brodie Croyle sacked by David Bowens for -6 yards,-1.410,-2.490
1,5:37,4,19,KAN 12,0,0,"Dustin Colquitt punts 42 yards, returned by Leon Washington for no gain",-2.490,-1.990
1,5:26,1,10,NYJ 46,0,0,Thomas Jones right end for 15 yards (tackle by Greg Wesley),1.990,2.980
1,4:53,1,10,KAN 39,0,0,Leon Washington left end for 1 yard (tackle by Napoleon Harris and Benny Sapp),2.980,2.580
1,4:12,2,9,KAN 38,0,0,Kellen Clemens pass complete short right to Jerricho Cotchery for 2 yards (tackle by Keyaron Fox),2.580,2.150
1,4:12,3,7,KAN 36,0,0,"Penalty on Brandon Moore: False Start, 5 yards (no play)",2.150,1.490
1,3:05,3,12,KAN 41,0,0,Kellen Clemens sacked by Jared Allen for -6 yards,1.490,0.130
1,2:32,4,18,KAN 47,0,0,Ben Graham punts 45 yards,0.130,0.380
1,2:22,1,10,KAN 2,0,0,Jackie Battle left guard for 2 yards (tackle by Brad Kassell),-0.380,-0.630
1,1:49,2,8,KAN 4,0,0,Brodie Croyle pass complete short right to Boomer Grigsby for 5 yards (tackle by David Harris),-0.630,-0.600
1,1:09,3,3,KAN 9,0,0,Brodie Croyle pass incomplete short left intended for Tony Gonzalez,-0.600,-2.490
1,1:09,4,3,KAN 9,0,0,"Dustin Colquitt punts 43 yards, returned by Leon Washington for -4 yards (tackle by Kendrell Bell)",-2.490,-1.860
1,0:54,1,10,NYJ 44,0,0,"Kellen Clemens pass incomplete short left intended for Thomas Jones. Penalty on Patrick Surtain: Illegal Use of Hands, 5 yards (no play)",1.860,2.190
1,0:46,1,10,NYJ 49,0,0,Thomas Jones middle for 7 yards (tackle by Keyaron Fox),2.190,2.590
