Unnamed: 0,SFO,ARI
First Downs,21,19
Rush-Yds-TDs,28-159-1,24-67-1
Cmp-Att-Yd-TD-INT,20-29-228-4-0,30-44-277-0-2
Sacked-Yards,0-0,3-30
Net Pass Yards,228,247
Total Yards,387,314
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,3-30,5-50
Third Down Conv.,6-11,8-16
Fourth Down Conv.,0-0,0-2
Time of Possession,29:09,30:51
