Unnamed: 0,PIT,CLE
First Downs,16,12
Rush-Yds-TDs,22-77-0,37-171-1
Cmp-Att-Yd-TD-INT,18-32-201-0-0,6-19-90-0-0
Sacked-Yards,8-60,1-6
Net Pass Yards,141,84
Total Yards,218,255
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,4-40,6-55
Third Down Conv.,3-14,6-16
Fourth Down Conv.,1-2,0-0
Time of Possession,30:45,29:15
