Quarter,Time,Tm,Detail,PIT,CLE
1.0,3:47,Browns,Phil Dawson 29 yard field goal,0,3
2.0,7:20,Browns,Phil Dawson 29 yard field goal,0,6
,0:41,Browns,Chris Jennings 10 yard rush (Phil Dawson kick),0,13
,0:00,Steelers,Jeff Reed 27 yard field goal,3,13
3.0,0:08,Steelers,Jeff Reed 42 yard field goal,6,13
