Unnamed: 0,DET,CHI
First Downs,13,23
Rush-Yds-TDs,21-20-2,31-101-0
Cmp-Att-Yd-TD-INT,20-34-171-0-1,23-35-372-2-1
Sacked-Yards,2-23,4-10
Net Pass Yards,148,362
Total Yards,168,463
Fumbles-Lost,3-2,4-3
Turnovers,3,4
Penalties-Yards,7-40,9-100
Third Down Conv.,4-14,6-14
Fourth Down Conv.,0-1,0-1
Time of Possession,25:18,34:42
