Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 66 yards, returned by Danieal Manning for 30 yards (tackle by Chris Houston)",0.000,1.200
1,14:54,1,10,CHI 34,0,0,Matt Forte left guard for 1 yard (tackle by Aaron Berry),1.200,0.790
1,14:12,2,9,CHI 35,0,0,Matt Forte left tackle for 7 yards (tackle by Louis Delmas),0.790,1.030
1,13:34,3,2,CHI 42,0,0,Jay Cutler pass complete short middle to Devin Aromashodu for 20 yards (tackle by Kyle Vanden Bosch),1.030,3.050
1,12:49,1,10,DET 38,0,0,Jay Cutler pass incomplete deep right intended for Devin Aromashodu,3.050,2.510
1,12:42,2,10,DET 38,0,0,Matt Forte right guard for 5 yards (tackle by Kyle Vanden Bosch),2.510,2.480
1,12:06,3,5,DET 33,0,0,Jay Cutler pass complete short left to Devin Aromashodu for 9 yards (tackle by Louis Delmas),2.480,3.970
1,11:35,1,10,DET 24,0,0,Jay Cutler pass complete short right to Devin Hester for 17 yards (tackle by Chris Houston),3.970,5.600
1,11:03,1,7,DET 7,0,0,Matt Forte right end for 2 yards (tackle by C.C. Brown),5.600,5.150
1,10:32,2,5,DET 5,0,0,Jay Cutler right end for 4 yards (tackle by Cliff Avril),5.150,5.170
1,9:50,3,1,DET 1,0,0,Matt Forte right tackle for -1 yards (tackle by Andre Fluellen),5.170,3.250
1,9:06,4,2,DET 2,0,3,Robbie Gould 20 yard field goal good,3.250,3.000
1,,,,CHI 30,0,3,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
1,9:03,1,10,DET 20,0,3,Jahvid Best right guard for 1 yard (tackle by Zackary Bowman),0.280,-0.130
1,8:27,2,9,DET 21,0,3,Jerome Felton left tackle for 5 yards (tackle by Lance Briggs),-0.130,-0.160
1,7:51,3,4,DET 26,0,3,Matthew Stafford pass incomplete short middle intended for Nate Burleson,-0.160,-1.630
1,7:46,4,4,DET 26,0,3,Nick Harris punts 35 yards,-1.630,-1.530
1,7:35,1,10,CHI 39,0,3,"Jay Cutler pass incomplete deep left intended for Devin Hester. Penalty on Cliff Avril: Roughing the Passer, 15 yards (no play)",1.530,2.520
1,7:28,1,10,DET 46,0,3,"Jay Cutler for 18 yards (tackle by Chris Houston). Penalty on Roberto Garza: Offensive Holding, 10 yards (no play)",2.520,1.860
1,7:02,1,20,CHI 44,0,3,Matt Forte left guard for 1 yard (tackle by Julian Peterson),1.860,0.760
1,6:16,2,19,CHI 45,0,3,Jay Cutler sacked by Ndamukong Suh for -1 yards,0.760,-0.030
1,5:45,3,20,CHI 44,0,3,Jay Cutler pass incomplete deep middle intended for Johnny Knox is intercepted by Aaron Berry at DET-35 and returned for 23 yards,-0.030,-2.790
1,5:33,1,10,CHI 42,0,3,Matthew Stafford pass complete short left to Tony Scheffler for 4 yards (tackle by Lance Briggs),2.790,2.780
1,4:56,2,6,CHI 38,0,3,Jahvid Best right end for -2 yards (tackle by Brian Urlacher),2.780,1.820
1,4:15,3,8,CHI 40,0,3,"Matthew Stafford pass complete short middle to Brandon Pettigrew for 6 yards (tackle by D.J. Moore). Penalty on Julius Peppers: Roughing the Passer, 15 yards",1.820,4.310
1,3:52,1,10,CHI 19,0,3,Matthew Stafford pass complete short middle to Jahvid Best for 2 yards (tackle by Brian Urlacher),4.310,4.030
1,3:15,2,8,CHI 17,0,3,Matthew Stafford pass incomplete deep right intended for Calvin Johnson,4.030,3.260
1,3:08,3,8,CHI 17,0,3,Matthew Stafford pass complete short right to Tony Scheffler for 10 yards (tackle by Brian Urlacher),3.260,5.600
1,2:19,1,7,CHI 7,6,3,"Jahvid Best left tackle for 7 yards, touchdown",5.600,7.000
1,,,,CHI 2,7,3,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,7,3,"Jason Hanson kicks off 73 yards, returned by Danieal Manning for 28 yards (tackle by Amari Spievey)",0.000,0.610
1,2:09,1,10,CHI 25,7,3,Chester Taylor right guard for 2 yards (tackle by Ashlee Palmer),0.610,0.330
1,1:36,2,8,CHI 27,7,3,Jay Cutler pass complete deep left to Johnny Knox for 32 yards (tackle by Louis Delmas),0.330,2.850
1,0:53,1,10,DET 41,7,3,Chester Taylor right guard for 8 yards (tackle by Aaron Berry),2.850,3.390
1,0:18,2,2,DET 33,7,3,Jay Cutler pass complete short right to Chester Taylor for 13 yards (tackle by Julian Peterson),3.390,4.240
Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 20,7,3,Chester Taylor right guard for 3 yards (tackle by Aaron Berry),4.240,4.120
2,14:28,2,7,DET 17,7,3,Jay Cutler pass incomplete short left intended for Devin Aromashodu,4.120,3.360
2,14:22,3,7,DET 17,7,3,"Jay Cutler pass complete short middle to Devin Aromashodu for 6 yards (tackle by Aaron Berry). Penalty on Jonathan Wade: Illegal Use of Hands, 5 yards (no play)",3.360,4.780
2,13:53,1,10,DET 12,7,3,"Jay Cutler pass complete short right to Greg Olsen for 4 yards (tackle by Chris Houston). Greg Olsen fumbles (forced by Chris Houston), recovered by Julian Peterson at DET-8 (tackle by Lance Louis)",4.780,0.380
2,13:40,1,10,DET 8,7,3,Jerome Felton right tackle for 2 yards (tackle by D.J. Moore),-0.380,-0.630
2,13:05,2,8,DET 10,7,3,Jahvid Best right end for -3 yards (tackle by Mark Anderson),-0.630,-1.540
2,12:21,3,11,DET 7,7,3,Jahvid Best right tackle for 1 yard (tackle by Brian Urlacher),-1.540,-2.490
2,11:44,4,10,DET 8,7,3,"Nick Harris punts 44 yards, returned by Devin Hester for 9 yards (tackle by Isaiah Ekejiuba)",-2.490,-2.720
2,11:33,1,10,DET 43,7,3,Matt Forte right guard for no gain (tackle by Julian Peterson),2.720,2.180
2,10:56,2,10,DET 43,7,3,Jay Cutler pass complete short middle to Matt Forte for 6 yards (tackle by Alphonso Smith and Kyle Vanden Bosch),2.180,2.280
2,10:07,3,4,DET 37,7,3,Jay Cutler pass incomplete short middle intended for Devin Aromashodu,2.280,0.790
2,10:03,4,4,DET 37,7,3,"Brad Maynard punts 27 yards, returned by Stefan Logan for 4 yards (tackle by Corey Graham). Penalty on Jonathan Wade: Offensive Holding, 5 yards",0.790,0.380
2,9:55,1,10,DET 5,7,3,Jahvid Best left guard for 2 yards (tackle by Brian Urlacher),-0.380,-0.630
2,9:15,2,8,DET 7,7,3,Matthew Stafford pass incomplete short right intended for Jerome Felton,-0.630,-1.190
