Quarter,Time,Tm,Detail,KAN,DEN
1.0,10:46,Chiefs,Priest Holmes 2 yard rush (Lawrence Tynes kick),7,0
,5:19,Broncos,Jason Elam 43 yard field goal,7,3
2.0,13:07,Broncos,Quentin Griffin 1 yard pass from Jake Plummer (Jason Elam kick),7,10
,8:44,Broncos,Quentin Griffin 25 yard rush (Jason Elam kick),7,17
3.0,12:53,Chiefs,Lawrence Tynes 50 yard field goal,10,17
,11:23,Chiefs,Priest Holmes 4 yard rush (Lawrence Tynes kick),17,17
,9:54,Broncos,Quentin Griffin 47 yard rush (Jason Elam kick),17,24
,5:50,Chiefs,Priest Holmes 33 yard rush (Lawrence Tynes kick),24,24
4.0,13:21,Broncos,Jason Elam 45 yard field goal,24,27
,2:12,Broncos,Patrick Hape 2 yard pass from Jake Plummer (Jason Elam kick),24,34
