Unnamed: 0,KAN,DEN
First Downs,15,24
Rush-Yds-TDs,28-167-3,36-192-2
Cmp-Att-Yd-TD-INT,16-32-174-0-1,18-29-230-2-2
Sacked-Yards,1-23,1-9
Net Pass Yards,151,221
Total Yards,318,413
Fumbles-Lost,0-0,3-1
Turnovers,1,3
Penalties-Yards,9-70,4-35
Third Down Conv.,4-13,5-12
Fourth Down Conv.,0-1,1-1
Time of Possession,28:24,31:36
