Unnamed: 0,SDG,BAL
First Downs,31,24
Rush-Yds-TDs,18-64-1,32-125-1
Cmp-Att-Yd-TD-INT,34-45-383-3-1,19-31-225-2-0
Sacked-Yards,2-7,0-0
Net Pass Yards,376,225
Total Yards,440,350
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,8-91,14-98
Third Down Conv.,9-11,7-12
Fourth Down Conv.,0-0,0-0
Time of Possession,29:49,30:11
