Quarter,Time,Tm,Detail,SDG,BAL
1.0,10:46,Ravens,Torrey Smith 16 yard pass from Joe Flacco (Justin Tucker kick),0,7
,7:48,Ravens,Justin Tucker 33 yard field goal,0,10
,0:20,Chargers,Keenan Allen 12 yard pass from Philip Rivers (Nick Novak kick),7,10
2.0,11:09,Ravens,Justin Tucker 21 yard field goal,7,13
,1:41,Ravens,Justin Tucker 29 yard field goal,7,16
,0:02,Chargers,Nick Novak 52 yard field goal,10,16
3.0,10:10,Chargers,Nick Novak 26 yard field goal,13,16
,5:01,Ravens,Torrey Smith 10 yard pass from Joe Flacco (Justin Tucker kick),13,23
4.0,13:12,Chargers,Ryan Mathews 14 yard rush (Nick Novak kick),20,23
,6:13,Ravens,Joe Flacco 1 yard rush (Justin Tucker kick),20,30
,3:40,Chargers,Keenan Allen 23 yard pass from Philip Rivers (Nick Novak kick),27,30
,2:22,Ravens,Justin Tucker 31 yard field goal,27,33
,0:38,Chargers,Eddie Royal 1 yard pass from Philip Rivers (Nick Novak kick),34,33
