Quarter,Time,Down,ToGo,Location,SDG,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 53 yards, returned by Jacoby Jones for 7 yards (tackle by Reggie Walker). Penalty on Reggie Walker: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,15:00,,,SDG 30,0,0,"Nick Novak kicks off 46 yards, returned by Crockett Gillmore for 15 yards (tackle by Darrell Stuckey)",0.000,-1.530
1,14:48,1,10,BAL 39,0,0,Joe Flacco pass complete short left to Owen Daniels for 21 yards (tackle by Kendall Reyes),1.530,2.920
1,14:08,1,10,SDG 40,0,0,Joe Flacco pass complete short right to Torrey Smith for 17 yards (tackle by Marcus Gilchrist),2.920,4.040
1,13:32,1,10,SDG 23,0,0,Justin Forsett left tackle for -1 yards (tackle by Jarret Johnson),4.040,3.360
1,12:58,2,11,SDG 24,0,0,Justin Forsett right guard for 4 yards (tackle by Marcus Gilchrist),3.360,3.200
1,12:21,3,7,SDG 20,0,0,Joe Flacco pass complete short middle to Marlon Brown for 7 yards (tackle by Marcus Gilchrist),3.200,4.710
1,11:42,1,10,SDG 13,0,0,Bernard Pierce left tackle for -3 yards (tackle by Corey Liuget),4.710,3.620
1,10:58,2,13,SDG 16,0,0,Joe Flacco pass incomplete short left intended for Owen Daniels,3.620,2.970
1,10:53,3,13,SDG 16,0,6,"Joe Flacco pass complete deep middle to Torrey Smith for 16 yards, touchdown",2.970,7.000
1,10:53,,,SDG 2,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,10:53,,,BAL 35,0,7,"Justin Tucker kicks off 70 yards, returned by Chris Davis for 20 yards (tackle by Jeromy Miles)",0.000,0.220
1,10:42,1,10,SDG 15,0,7,Ryan Mathews right guard for 4 yards (tackle by Chris Canty and Anthony Levine),-0.220,-0.110
1,10:06,2,6,SDG 19,0,7,Philip Rivers pass incomplete short middle intended for Keenan Allen is intercepted by Daryl Smith at SDG-19. Penalty on Chris Watt: Offensive Holding (Declined),-0.110,-4.310
1,9:59,1,10,SDG 19,0,7,Justin Forsett left guard for 7 yards (tackle by Kavell Conner and Jarret Johnson),4.310,4.920
1,9:23,2,3,SDG 12,0,7,Justin Forsett right tackle for no gain (tackle by Corey Liuget),4.920,4.190
1,8:42,3,3,SDG 12,0,7,Joe Flacco pass complete short left to Steve Smith for 2 yards (tackle by Eric Weddle),4.190,2.910
1,8:42,4,1,SDG 10,0,7,"Penalty on Joe Flacco: Delay of Game, 5 yards (no play)",2.910,2.470
1,7:52,4,6,SDG 15,0,10,Justin Tucker 33 yard field goal good,2.470,3.000
1,7:52,,,BAL 35,0,10,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,7:48,1,10,SDG 20,0,10,Ryan Mathews left tackle for 2 yards (tackle by Terrell Suggs and Daryl Smith),0.280,0.000
1,7:08,2,8,SDG 22,0,10,Philip Rivers pass complete short right to Eddie Royal for 7 yards (tackle by Lardarius Webb),0.000,0.230
1,6:25,3,1,SDG 29,0,10,Philip Rivers pass complete short left to Eddie Royal for 10 yards (tackle by Matt Elam). Penalty on Courtney Upshaw: Illegal Use of Hands (Declined),0.230,1.530
1,5:56,1,10,SDG 39,0,10,Ryan Mathews right guard for 1 yard (tackle by Chris Canty and Daryl Smith),1.530,1.120
1,5:10,2,9,SDG 40,0,10,Philip Rivers sacked by Timmy Jernigan for 0 yards,1.120,0.430
1,4:24,3,9,SDG 40,0,10,Philip Rivers pass complete short middle to Antonio Gates for 18 yards (tackle by Will Hill),0.430,2.790
1,3:42,1,10,BAL 42,0,10,Ryan Mathews up the middle for 4 yards (tackle by Lawrence Guy),2.790,2.780
1,3:06,2,6,BAL 38,0,10,Ryan Mathews right guard for 5 yards (tackle by Lawrence Guy),2.780,2.740
1,2:36,3,1,BAL 33,0,10,Ryan Mathews right guard for 3 yards (tackle by Matt Elam),2.740,3.580
1,2:08,1,10,BAL 30,0,10,Ryan Mathews right guard for -3 yards (tackle by Terrell Suggs),3.580,2.630
1,1:27,2,13,BAL 33,0,10,Philip Rivers pass incomplete short right intended for Malcom Floyd,2.630,1.950
1,1:22,3,13,BAL 33,0,10,Philip Rivers pass complete short right to Antonio Gates for 16 yards (tackle by Will Hill),1.950,4.440
1,0:55,1,10,BAL 17,0,10,"Donald Brown right end for 2 yards (tackle by Lardarius Webb and Courtney Upshaw). Penalty on Elvis Dumervil: Defensive Offside, 5 yards, Penalty on BAL: Defensive 12 On-field (Declined) (no play)",4.440,5.520
1,0:27,1,5,BAL 12,6,10,"Philip Rivers pass complete short middle to Keenan Allen for 12 yards, touchdown",5.520,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
1,0:27,,,BAL 2,7,10,Nick Novak kicks extra point good,0.000,0.000
1,0:27,,,SDG 35,7,10,"Nick Novak kicks off 49 yards, returned by Lorenzo Taliaferro for 15 yards (tackle by Darrell Stuckey)",0.000,-1.000
1,0:14,1,10,BAL 31,7,10,Joe Flacco pass incomplete short left intended for Bernard Pierce,1.000,0.460
1,0:08,2,10,BAL 31,7,10,Justin Forsett left guard for 7 yards (tackle by Reggie Walker and Manti Te'o),0.460,0.700
Quarter,Time,Down,ToGo,Location,SDG,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,BAL 38,7,10,Joe Flacco pass complete short right to Marlon Brown for 10 yards (tackle by Brandon Flowers),0.700,2.130
2,14:32,1,10,BAL 48,7,10,Justin Forsett left tackle for 16 yards (tackle by Kavell Conner and Marcus Gilchrist),2.130,3.180
2,13:58,1,10,SDG 36,7,10,Justin Forsett right guard for 3 yards (tackle by Kendall Reyes and Corey Liuget),3.180,3.040
2,13:21,2,7,SDG 33,7,10,Joe Flacco pass complete short left to Marlon Brown for 8 yards (tackle by Shareece Wright),3.040,3.910
2,12:47,1,10,SDG 25,7,10,Justin Forsett right guard for 1 yard (tackle by Melvin Ingram and Tenny Palepoi),3.910,3.500
2,12:11,2,9,SDG 24,7,10,"Joe Flacco pass incomplete deep left intended for Steve Smith (defended by Marcus Gilchrist). Penalty on Marcus Gilchrist: Defensive Pass Interference, 18 yards (no play)",3.500,5.830
2,12:03,1,6,SDG 6,7,10,Joe Flacco pass incomplete short middle intended for Crockett Gillmore,5.830,4.950
2,11:54,2,6,SDG 6,7,10,Justin Forsett right tackle for 3 yards (tackle by Kendall Reyes and Sean Lissemore),4.950,4.720
2,11:19,3,3,SDG 3,7,10,Joe Flacco pass incomplete short right intended for Justin Forsett,4.720,3.040
2,11:13,4,3,SDG 3,7,13,Justin Tucker 21 yard field goal good,3.040,3.000
2,11:13,,,BAL 35,7,13,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
2,11:09,1,10,SDG 20,7,13,Philip Rivers pass complete short left to Keenan Allen for 6 yards (tackle by Anthony Levine and Daryl Smith),0.280,0.540
2,10:28,2,4,SDG 26,7,13,Ryan Mathews left guard for 2 yards (tackle by Jeromy Miles),0.540,0.540
2,9:57,2,4,SDG 26,7,13,Timeout #1 by Baltimore Ravens,0.540,0.100
2,9:57,3,2,SDG 28,7,13,"Penalty on Pernell McPhee: Encroachment, 5 yards (no play)",0.100,1.140
2,9:57,1,10,SDG 33,7,13,Ryan Mathews left tackle for 3 yards (tackle by Anthony Levine and Chris Canty),1.140,1.000
2,9:12,2,7,SDG 36,7,13,Philip Rivers pass complete short right to Ryan Mathews for 6 yards (tackle by Lardarius Webb),1.000,1.090
2,8:27,3,1,SDG 42,7,13,Philip Rivers pass complete short middle to Antonio Gates for 23 yards (tackle by Courtney Upshaw),1.090,3.250
2,7:45,1,10,BAL 35,7,13,Philip Rivers pass complete short left to Ladarius Green for 3 yards (tackle by Daryl Smith),3.250,3.110
2,7:04,2,7,BAL 32,7,13,Philip Rivers pass complete short middle to Keenan Allen for 5 yards (tackle by Anthony Levine),3.110,3.070
2,6:23,3,2,BAL 27,7,13,"Philip Rivers up the middle for 4 yards (tackle by Anthony Levine). Penalty on Matt Elam: Defensive Holding, 5 yards",3.070,4.370
2,5:51,1,10,BAL 18,7,13,"Philip Rivers pass complete short right to Eddie Royal for 2 yards (tackle by Chris Canty). Eddie Royal fumbles (forced by Chris Canty), recovered by Jeromy Miles at BAL-16 (tackle by Chris Watt)",4.370,0.140
2,5:42,1,10,BAL 16,7,13,Joe Flacco pass incomplete short middle intended for Steve Smith,-0.140,-0.660
