#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,10:46,SDG 15,2,0:47,4,Interception
2,1,7:48,SDG 20,13,7:28,80,Touchdown
3,2,11:09,SDG 20,9,5:27,64,Fumble
4,2,1:41,SDG 20,10,1:39,46,Field Goal
5,3,15:00,SDG 20,9,4:50,72,Field Goal
6,3,5:01,SDG 20,5,3:16,11,Punt
7,3,0:17,SDG 41,5,2:05,59,Touchdown
8,4,6:13,SDG 23,6,2:33,77,Touchdown
9,4,2:22,SDG 20,8,1:44,80,Touchdown
