Quarter,Time,Tm,Detail,NWE,NYJ
1.0,4:46,Patriots,Nick Folk 46 yard field goal,3,0
,0:57,Patriots,James White 7 yard rush (Nick Folk kick),10,0
2.0,9:52,Jets,Matt Ammendola 21 yard field goal,10,3
,0:13,Patriots,Nick Folk 49 yard field goal,13,3
3.0,10:24,Patriots,Damien Harris 26 yard rush (Nick Folk kick failed),19,3
,1:09,Patriots,Nick Folk 31 yard field goal,22,3
4.0,6:11,Jets,Matt Ammendola 35 yard field goal,22,6
,1:57,Patriots,Nick Folk 26 yard field goal,25,6
