Unnamed: 0,CHI,STL
First Downs,30,20
Rush-Yds-TDs,26-80-1,29-258-3
Cmp-Att-Yd-TD-INT,36-47-352-2-1,10-22-167-1-0
Sacked-Yards,1-8,2-19
Net Pass Yards,344,148
Total Yards,424,406
Fumbles-Lost,3-2,1-0
Turnovers,3,0
Penalties-Yards,10-84,6-39
Third Down Conv.,6-10,4-10
Fourth Down Conv.,0-1,0-0
Time of Possession,36:09,23:51
