Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 70 yards, returned by Tavon Austin for 24 yards (tackle by Dante Rosario)",0.000,-0.150
1,14:55,1,10,STL 19,0,0,Zac Stacy left tackle for 11 yards (tackle by Major Wright),0.150,0.940
1,14:21,1,10,STL 30,0,0,Zac Stacy up the middle for 5 yards (tackle by Khaseem Greene),0.940,1.070
1,13:44,2,5,STL 35,0,6,"Tavon Austin right end for 65 yards, touchdown",1.070,7.000
1,13:44,,,CHI 2,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,13:44,,,STL 35,0,7,"Greg Zuerlein kicks off 70 yards, returned by Devin Hester for 23 yards (tackle by Ray Ray Armstrong). Penalty on Khaseem Greene: Offensive Holding, 9 yards",0.000,0.380
1,13:25,1,10,CHI 9,0,7,"Matt Forte right end for -2 yards (tackle by Trumaine Johnson). Matt Forte fumbles (forced by Trumaine Johnson), recovered by James Laurinaitis at CHI-7 (tackle by Matt Forte)",-0.380,-5.600
1,13:19,1,7,CHI 7,0,7,Zac Stacy up the middle for 3 yards (tackle by Major Wright),5.600,5.340
1,12:51,2,4,CHI 4,0,7,Kellen Clemens pass incomplete short right intended for Lance Kendricks,5.340,5.340
1,12:44,2,4,CHI 4,0,7,Timeout #1 by St. Louis Rams,5.340,4.490
1,12:44,3,4,CHI 4,0,7,"Kellen Clemens pass incomplete short right intended for Jared Cook. Penalty on Chris Conte: Defensive Pass Interference, 3 yards (no play)",4.490,6.970
1,12:40,1,1,CHI 1,0,13,"Zac Stacy left guard for 1 yard, touchdown",6.970,7.000
1,12:40,,,CHI 2,0,14,Greg Zuerlein kicks extra point good,0.000,0.000
1,12:40,,,STL 35,0,14,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,12:36,1,10,CHI 20,0,14,Josh McCown pass complete short left to Matt Forte for -4 yards (tackle by Jo-Lonn Dunbar),0.280,-0.940
1,11:55,2,14,CHI 16,0,14,Matt Forte left tackle for 26 yards (tackle by Rodney McLeod),-0.940,1.730
1,11:07,1,10,CHI 42,0,14,Josh McCown pass complete short right to Brandon Marshall for 9 yards (tackle by Trumaine Johnson),1.730,2.400
1,10:42,2,1,STL 49,0,14,Matt Forte up the middle for 2 yards (tackle by Brandon McGee),2.400,2.460
1,10:17,1,10,STL 47,0,14,Josh McCown left guard for 1 yard (tackle by Eugene Sims),2.460,2.460
1,9:18,1,10,STL 47,0,14,Timeout #1 by Chicago Bears,2.460,2.050
1,9:18,2,9,STL 46,0,14,Josh McCown pass complete short left to Alshon Jeffery for 9 yards (tackle by T.J. McDonald),2.050,3.120
1,8:36,1,10,STL 37,0,14,Matt Forte right end for 11 yards (tackle by T.J. McDonald),3.120,3.840
1,7:54,1,10,STL 26,0,14,Josh McCown pass incomplete short middle intended for Matt Forte (defended by Robert Quinn),3.840,3.300
1,7:45,2,10,STL 26,0,14,Matt Forte right end for 19 yards (tackle by Rodney McLeod),3.300,5.600
1,7:03,1,7,STL 7,0,14,Josh McCown pass complete short middle to Earl Bennett for no gain,5.600,4.760
1,6:24,2,7,STL 7,6,14,"Josh McCown pass complete short right to Martellus Bennett for 7 yards, touchdown",4.760,7.000
1,6:24,,,STL 2,7,14,Robbie Gould kicks extra point good,0.000,0.000
1,6:24,,,CHI 35,7,14,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,6:14,1,10,STL 20,7,14,Zac Stacy left tackle for 3 yards (tackle by Jonathan Bostic),0.280,0.140
1,5:42,2,7,STL 23,7,14,Kellen Clemens pass complete short right to Brian Quick for 16 yards (tackle by Khaseem Greene),0.140,1.530
1,4:59,1,10,STL 39,7,14,Kellen Clemens pass complete short left to Zac Stacy for 10 yards (tackle by Khaseem Greene),1.530,2.190
1,4:12,1,10,STL 49,7,14,Kellen Clemens sacked by David Bass for -9 yards,2.190,0.430
1,3:36,2,19,STL 40,7,14,Kellen Clemens pass complete deep middle to Stedman Bailey for 19 yards (tackle by Zackary Bowman),0.430,2.850
1,2:53,1,10,CHI 41,7,14,Zac Stacy left tackle for 35 yards (tackle by Chris Conte),2.850,5.830
1,2:15,1,6,CHI 6,7,14,Benny Cunningham right tackle for no gain (tackle by Corey Wootton),5.830,4.950
1,1:35,2,6,CHI 6,7,14,Kellen Clemens pass incomplete short left intended for Chris Givens,4.950,4.040
