Unnamed: 0,SEA,WAS
First Downs,21,26
Rush-Yds-TDs,23-119-1,39-141-0
Cmp-Att-Yd-TD-INT,26-38-242-1-0,20-36-226-2-1
Sacked-Yards,1-7,2-15
Net Pass Yards,235,211
Total Yards,354,352
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,8-84,2-10
Third Down Conv.,6-12,13-18
Fourth Down Conv.,1-1,1-1
Time of Possession,26:09,39:22
