Quarter,Time,Tm,Detail,SEA,WAS
1,5:58,Seahawks,Josh Brown 53 yard field goal,3,0
2,2:39,Redskins,Robert Royal 1 yard pass from Mark Brunell (Nick Novak kick),3,7
3,7:19,Redskins,Mike Sellers 4 yard pass from Mark Brunell (Nick Novak kick),3,14
,4:10,Seahawks,Shaun Alexander 3 yard rush (Josh Brown kick),10,14
,0:03,Redskins,Nick Novak 40 yard field goal,10,17
4,1:23,Seahawks,Darrell Jackson 6 yard pass from Matt Hasselbeck (Josh Brown kick),17,17
OT,9:29,Redskins,Nick Novak 39 yard field goal,17,20
