Unnamed: 0,DEN,KAN
First Downs,14,23
Rush-Yds-TDs,14-63-1,37-238-2
Cmp-Att-Yd-TD-INT,17-43-183-0-1,26-37-246-2-1
Sacked-Yards,0-0,0-0
Net Pass Yards,183,246
Total Yards,246,484
Fumbles-Lost,3-2,2-0
Turnovers,3,1
Penalties-Yards,9-70,8-65
Third Down Conv.,4-15,9-17
Fourth Down Conv.,1-2,0-0
Time of Possession,21:59,38:01
