Quarter,Time,Tm,Detail,HOU,OAK
1.0,8:34,Texans,Nick Novak 32 yard field goal,3,0
2.0,14:54,Raiders,Jalen Richard 17 yard pass from Derek Carr (Sebastian Janikowski kick),3,7
,12:48,Raiders,Sebastian Janikowski 19 yard field goal,3,10
,7:59,Texans,Braxton Miller 12 yard pass from Brock Osweiler (Nick Novak kick),10,10
3.0,8:32,Texans,Lamar Miller 1 yard rush (Nick Novak kick),17,10
,2:39,Raiders,Sebastian Janikowski 20 yard field goal,17,13
4.0,10:57,Texans,Nick Novak 28 yard field goal,20,13
,10:44,Raiders,Jamize Olawale 75 yard pass from Derek Carr (Sebastian Janikowski kick),20,20
,4:43,Raiders,Amari Cooper 35 yard pass from Derek Carr (Sebastian Janikowski kick),20,27
