Quarter,Time,Down,ToGo,Location,HOU,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,1,10,HOU 25,0,0,Brock Osweiler pass complete short left to Ryan Griffin for 4 yards (tackle by Bruce Irvin),0.610,0.600
1,14:26,2,6,HOU 29,0,0,Lamar Miller middle for -2 yards (tackle by Perry Riley and Bruce Irvin),0.600,-0.360
1,13:46,3,8,HOU 27,0,0,Brock Osweiler pass complete short right to C.J. Fiedorowicz for 10 yards (tackle by Malcolm Smith). Penalty on Malcolm Smith: Defensive Holding (Declined),-0.360,1.400
1,13:23,1,10,HOU 37,0,0,Brock Osweiler pass incomplete short left intended for C.J. Fiedorowicz,1.400,0.860
1,13:19,2,10,HOU 37,0,0,Lamar Miller right end for 3 yards (tackle by David Amerson and Jihad Ward),0.860,0.560
1,12:33,3,7,HOU 40,0,0,Brock Osweiler pass complete short left to DeAndre Hopkins for 24 yards,0.560,3.180
1,11:50,1,10,OAK 36,0,0,Lamar Miller left guard for 3 yards (tackle by Perry Riley and Malcolm Smith),3.180,3.040
1,11:17,2,7,OAK 33,0,0,Lamar Miller middle for 2 yards (tackle by Cory James),3.040,2.610
1,10:32,3,5,OAK 31,0,0,Brock Osweiler pass complete short left to Stephen Anderson for 14 yards (tackle by Reggie Nelson),2.610,4.440
1,10:00,1,10,OAK 17,0,0,Akeem Hunt left tackle for 5 yards (tackle by Karl Joseph),4.440,4.690
1,9:20,2,5,OAK 12,0,0,Akeem Hunt left end for -2 yards (tackle by Bruce Irvin),4.690,3.500
1,8:44,3,7,OAK 14,0,0,Brock Osweiler pass incomplete short right intended for Braxton Miller,3.500,2.510
1,8:37,4,7,OAK 14,3,0,Nick Novak 32 yard field goal good,2.510,3.000
1,8:34,,,HOU 35,3,0,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
1,8:34,1,10,OAK 25,3,0,Derek Carr pass complete short right to Michael Crabtree for -5 yards (tackle by Andre Hal),0.610,-0.610
1,7:52,2,15,OAK 20,3,0,Jalen Richard middle for -4 yards (tackle by Jadeveon Clowney),-0.610,-2.140
1,7:07,3,19,OAK 16,3,0,Derek Carr pass complete short middle to Latavius Murray for 5 yards (tackle by Whitney Mercilus),-2.140,-1.960
1,6:24,4,14,OAK 21,3,0,"Marquette King punts 51 yards, returned by Tyler Ervin for 9 yards (tackle by Daren Bates)",-1.960,-1.400
1,6:13,1,10,HOU 37,3,0,Brock Osweiler pass complete short right to DeAndre Hopkins for 4 yards (tackle by David Amerson),1.400,1.400
1,5:39,2,6,HOU 41,3,0,Lamar Miller right guard for 4 yards (tackle by Khalil Mack),1.400,1.220
1,5:04,3,2,HOU 45,3,0,Braxton Miller right tackle for 1 yard (tackle by Khalil Mack),1.220,-0.320
1,4:41,4,1,HOU 46,3,0,"Shane Lechler punts 45 yards, returned by T.J. Carrie for 12 yards (tackle by Corey Moore)",-0.320,-0.340
1,4:29,1,10,OAK 21,3,0,Derek Carr pass complete deep right to Clive Walford for 17 yards,0.340,1.470
1,4:16,1,10,OAK 38,3,0,Derek Carr pass complete short left to Jamize Olawale for 9 yards (tackle by Benardrick McKinney),1.470,2.140
1,3:37,2,1,OAK 47,3,0,Latavius Murray left tackle for no gain (tackle by Brian Cushing),2.140,1.420
1,2:50,3,1,OAK 47,3,0,Latavius Murray middle for 2 yards (tackle by Benardrick McKinney),1.420,2.190
1,2:06,1,10,OAK 49,3,0,Latavius Murray left end for 3 yards (tackle by Quintin Demps),2.190,2.050
1,1:24,2,7,HOU 48,3,0,"Penalty on Donald Penn: False Start, 5 yards (no play)",2.050,1.380
1,0:59,2,12,OAK 47,3,0,"Derek Carr pass incomplete deep right intended for Michael Crabtree (defended by Johnathan Joseph). Penalty on Johnathan Joseph: Defensive Pass Interference, 33 yards (no play)",1.380,4.240
1,0:52,1,10,HOU 20,3,0,Latavius Murray middle for 3 yards (tackle by Benardrick McKinney),4.240,4.120
1,0:11,2,7,HOU 17,3,0,Derek Carr pass complete short right to Latavius Murray for no gain,4.120,3.360
Quarter,Time,Down,ToGo,Location,HOU,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,HOU 17,3,6,"Derek Carr pass complete short middle to Jalen Richard for 17 yards, touchdown",3.360,7.000
2,14:54,,,HOU 15,3,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,14:54,,,OAK 35,3,7,"Sebastian Janikowski kicks off 57 yards, muffed catch by Tyler Ervin, recovered by Taiwan Jones and returned for no gain",0.000,4.310
2,14:47,1,10,HOU 19,3,7,Derek Carr pass complete short right to Amari Cooper for 15 yards (tackle by Johnathan Joseph and A.J. Bouye),4.310,6.280
2,14:20,1,4,HOU 4,3,7,Latavius Murray middle for 3 yards (tackle by John Simon),6.280,5.910
2,13:37,2,1,HOU 1,3,7,Jamize Olawale middle for no gain (tackle by A.J. Bouye),5.910,5.170
2,12:55,3,1,HOU 1,3,7,Derek Carr pass incomplete short right intended for Clive Walford,5.170,3.550
2,12:51,4,1,HOU 1,3,10,Sebastian Janikowski 19 yard field goal good,3.550,3.000
2,12:48,,,OAK 35,3,10,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
2,12:48,1,10,HOU 25,3,10,Brock Osweiler pass incomplete short left intended for Will Fuller (defended by Shilique Calhoun),0.610,0.060
2,12:43,2,10,HOU 25,3,10,Lamar Miller left guard for 3 yards (tackle by Malcolm Smith),0.060,-0.230
2,11:57,3,7,HOU 28,3,10,"Brock Osweiler pass incomplete short middle intended for DeAndre Hopkins (defended by D.J. Hayden). Penalty on D.J. Hayden: Defensive Holding, 5 yards (no play)",-0.230,1.140
2,11:52,1,10,HOU 33,3,10,Brock Osweiler pass incomplete short middle intended for C.J. Fiedorowicz (defended by Reggie Nelson),1.140,0.590
2,11:43,2,10,HOU 33,3,10,Lamar Miller left tackle for 8 yards (tackle by Karl Joseph),0.590,0.000
2,10:55,,,,3,10,Timeout #1 by Houston Texans,0.000,-0.960
2,10:55,3,2,HOU 41,3,10,Brock Osweiler pass complete short middle to C.J. Fiedorowicz for 18 yards (tackle by Karl Joseph),0.960,2.850
2,10:24,1,10,OAK 41,3,10,Lamar Miller right end for 7 yards (tackle by Bruce Irvin),2.850,0.000
2,9:44,,,,3,10,Timeout #1 by Oakland Raiders,0.000,-3.250
2,9:44,2,3,OAK 34,3,10,Lamar Miller right end for 33 yards (tackle by Karl Joseph),3.250,6.970
2,9:19,1,1,OAK 1,3,10,Brock Osweiler pass complete short middle to Brock Osweiler for -6 yards (tackle by Denico Autry),6.970,4.760
2,8:28,2,7,OAK 7,3,10,"Penalty on Greg Mancz: False Start, 5 yards (no play)",4.760,3.860
2,8:04,2,12,OAK 12,9,10,"Brock Osweiler pass complete short middle to Braxton Miller for 12 yards, touchdown",3.860,7.000
2,7:59,,,OAK 15,10,10,Nick Novak kicks extra point good,0.000,0.000
2,7:59,,,HOU 35,10,10,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
2,7:59,1,10,OAK 25,10,10,Jalen Richard left tackle for 2 yards (tackle by Christian Covington),0.610,0.330
2,7:21,2,8,OAK 27,10,10,Derek Carr pass complete short left to Jalen Richard for 4 yards (tackle by Benardrick McKinney),0.330,0.170
2,6:37,3,4,OAK 31,10,10,Derek Carr pass incomplete short right intended for Michael Crabtree,0.170,-1.310
2,6:31,4,4,OAK 31,10,10,"Marquette King punts 59 yards, returned by Braxton Miller for 1 yard (tackle by Andre Holmes)",-1.310,0.370
2,6:20,1,10,HOU 11,10,10,Lamar Miller middle for -2 yards (tackle by Denico Autry),-0.370,-0.930
2,5:43,2,12,HOU 9,10,10,Brock Osweiler pass complete short middle to C.J. Fiedorowicz for 14 yards (tackle by Karl Joseph),-0.930,0.480
2,5:17,1,10,HOU 23,10,10,Lamar Miller right tackle for 3 yards (tackle by Justin Ellis and David Amerson),0.480,0.340
2,4:42,2,7,HOU 26,10,10,Brock Osweiler pass complete short middle to DeAndre Hopkins for 13 yards (tackle by D.J. Hayden),0.340,1.530
2,4:09,1,10,HOU 39,10,10,Lamar Miller middle for 1 yard (tackle by Dan Williams),1.530,1.120
2,3:26,2,9,HOU 40,10,10,Akeem Hunt right end for no gain (tackle by Bruce Irvin),1.120,0.430
2,2:40,3,9,HOU 40,10,10,Brock Osweiler pass incomplete short middle intended for DeAndre Hopkins (defended by D.J. Hayden),0.430,-0.720
2,2:35,4,9,HOU 40,10,10,"Shane Lechler punts 60 yards, touchback",-0.720,-0.280
2,2:26,1,10,OAK 20,10,10,"Derek Carr pass complete short right to Michael Crabtree for 4 yards. Michael Crabtree fumbles, recovered by Michael Crabtree at OAK-24",0.280,0.270
2,2:04,2,6,OAK 24,10,10,"Penalty on Jadeveon Clowney: Neutral Zone Infraction, 5 yards (no play)",0.270,0.950
2,2:00,2,1,OAK 29,10,10,Derek Carr pass incomplete deep left intended for Seth Roberts,0.950,0.230
2,1:54,3,1,OAK 29,10,10,Jamize Olawale left guard for -3 yards (tackle by Jadeveon Clowney),0.230,0.000
2,1:47,,,,10,10,Timeout #2 by Houston Texans,0.000,1.630
2,1:47,4,4,OAK 26,10,10,"Marquette King punts 49 yards, out of bounds",-1.630,-0.610
2,1:38,1,10,HOU 25,10,10,Brock Osweiler pass incomplete deep middle intended for Ryan Griffin is intercepted by Malcolm Smith at 50,0.610,-2.260
2,1:31,1,10,,10,10,Derek Carr pass incomplete short left intended for Seth Roberts,2.260,1.710
2,1:27,2,10,,10,10,Derek Carr pass complete short middle to Latavius Murray for 8 yards (tackle by Kareem Jackson),1.710,2.080
2,1:02,3,2,HOU 42,10,10,Latavius Murray middle for 1 yard (tackle by Jadeveon Clowney),2.080,0.530
2,0:21,4,1,HOU 41,10,10,Derek Carr pass incomplete short right intended for Michael Crabtree (defended by Johnathan Joseph),0.530,-1.660
2,0:16,1,10,HOU 41,10,10,Brock Osweiler pass complete short right to Braxton Miller for 1 yard (tackle by Malcolm Smith),1.660,1.260
2,0:09,2,9,HOU 42,10,10,Brock Osweiler pass incomplete deep right intended for Will Fuller (defended by David Amerson),1.260,0.560
2,0:02,3,9,HOU 42,10,10,Brock Osweiler sacked by Khalil Mack for -9 yards,0.560,-1.180
Quarter,Time,Down,ToGo,Location,HOU,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,10,10,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,OAK 25,10,10,Derek Carr pass incomplete deep middle intended for Amari Cooper is intercepted by A.J. Bouye at HOU-35,0.610,-1.270
3,14:51,1,10,HOU 35,10,10,Brock Osweiler pass incomplete short middle intended for C.J. Fiedorowicz,1.270,0.720
3,14:47,2,10,HOU 35,10,10,Brock Osweiler pass incomplete short left intended for Ryan Griffin,0.720,0.040
3,14:44,3,10,HOU 35,10,10,Brock Osweiler left end for 9 yards (tackle by Karl Joseph),0.040,-0.460
3,14:21,4,1,HOU 44,10,10,Jay Prosch middle for 2 yards (tackle by Dan Williams),-0.460,1.990
3,13:39,1,10,HOU 46,10,10,Brock Osweiler pass complete deep left to Ryan Griffin for 20 yards (tackle by Karl Joseph),1.990,3.310
3,12:52,1,10,OAK 34,10,10,Lamar Miller left tackle for 4 yards (tackle by Karl Joseph),3.310,3.310
3,12:27,2,6,OAK 30,10,10,Brock Osweiler pass complete short right to Lamar Miller for 4 yards (tackle by Bruce Irvin),3.310,3.140
3,11:37,3,2,OAK 26,10,10,Brock Osweiler pass complete short middle to Braxton Miller for 6 yards (tackle by David Amerson),3.140,4.240
3,10:56,1,10,OAK 20,10,10,Brock Osweiler pass complete short right to Ryan Griffin for 8 yards. Penalty on Shilique Calhoun: Defensive Holding (Declined),4.240,5.040
3,10:32,2,2,OAK 12,10,10,Lamar Miller middle for 3 yards (tackle by Shilique Calhoun),5.040,5.140
3,9:50,1,9,OAK 9,10,10,Brock Osweiler pass complete short right to Braxton Miller for no gain,5.140,4.380
3,9:19,2,9,OAK 9,10,10,Lamar Miller left end for 2 yards (tackle by Sean Smith),4.380,3.810
3,8:42,3,7,OAK 7,10,10,"Brock Osweiler pass incomplete short right intended for Braxton Miller. Penalty on D.J. Hayden: Defensive Pass Interference, 6 yards (no play)",3.810,6.970
3,8:37,1,1,OAK 1,16,10,"Lamar Miller left tackle for 1 yard, touchdown",6.970,7.000
3,8:32,,,OAK 15,17,10,Nick Novak kicks extra point good,0.000,0.000
3,8:32,,,HOU 35,17,10,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
3,8:32,1,10,OAK 25,17,10,Derek Carr pass complete short middle to Jamize Olawale for 6 yards (tackle by Andre Hal),0.610,0.870
3,7:59,2,4,OAK 31,17,10,DeAndre Washington left tackle for no gain (tackle by Jadeveon Clowney),0.870,0.170
3,7:19,3,4,OAK 31,17,10,Derek Carr pass complete short right to Michael Crabtree for 6 yards (tackle by Benardrick McKinney),0.170,1.400
3,6:36,1,10,OAK 37,17,10,Derek Carr pass complete short right to Amari Cooper for -1 yards (tackle by Benardrick McKinney),1.400,0.720
3,5:52,2,11,OAK 36,17,10,Jalen Richard middle for 4 yards (tackle by Jadeveon Clowney),0.720,0.560
3,5:08,3,7,OAK 40,17,10,"Derek Carr pass complete short right to Clive Walford for 11 yards (tackle by Johnathan Joseph). Penalty on Johnathan Joseph: Unnecessary Roughness, 15 yards",0.560,3.310
3,4:36,1,10,HOU 34,17,10,"Penalty on Rodney Hudson: False Start, 5 yards (no play)",3.310,2.980
3,4:27,1,15,HOU 39,17,10,Derek Carr pass complete short middle to Latavius Murray for 7 yards (tackle by Benardrick McKinney),2.980,3.040
3,3:47,2,8,HOU 32,17,10,Derek Carr pass incomplete deep middle intended for Michael Crabtree,3.040,2.350
3,3:39,3,8,HOU 32,17,10,"Derek Carr pass incomplete deep left intended for Michael Crabtree. Penalty on A.J. Bouye: Defensive Pass Interference, 24 yards (no play)",2.350,5.370
3,3:31,1,8,HOU 8,17,10,Derek Carr pass incomplete short left intended for Clive Walford (defended by Corey Moore),5.370,4.570
3,3:27,2,8,HOU 8,17,10,Derek Carr pass complete short left to Seth Roberts for 6 yards (tackle by Max Bullough),4.570,4.950
