Unnamed: 0,HOU,OAK
First Downs,22,16
Rush-Yds-TDs,33-124-1,20-30-0
Cmp-Att-Yd-TD-INT,26-39-243-1-1,21-31-295-3-1
Sacked-Yards,2-13,0-0
Net Pass Yards,230,295
Total Yards,354,325
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,7-101,4-21
Third Down Conv.,8-16,4-11
Fourth Down Conv.,1-2,1-2
Time of Possession,36:27,23:33
