Unnamed: 0,SDG,PIT
First Downs,21,21
Rush-Yds-TDs,27-116-2,43-181-1
Cmp-Att-Yd-TD-INT,21-36-240-1-2,12-19-169-3-0
Sacked-Yards,2-12,2-9
Net Pass Yards,228,160
Total Yards,344,341
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,2-10,3-24
Third Down Conv.,5-13,6-13
Fourth Down Conv.,2-4,1-1
Time of Possession,25:38,34:22
