Quarter,Time,Tm,Detail,SDG,PIT
1.0,8:51,Steelers,Plaxico Burress 25 yard pass from Tommy Maddox (Jeff Reed kick),0,7
,0:10,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),0,14
2.0,12:49,Steelers,Plaxico Burress 16 yard pass from Tommy Maddox (Jeff Reed kick),0,21
,7:05,Chargers,LaDainian Tomlinson 5 yard rush (Steve Christie kick),7,21
,0:04,Chargers,Steve Christie 31 yard field goal,10,21
3.0,12:01,Chargers,Kassim Osgood 57 yard pass from Drew Brees (Steve Christie kick),17,21
,8:25,Steelers,Hines Ward 20 yard pass from Tommy Maddox (Jeff Reed kick),17,28
4.0,14:15,Steelers,Jeff Reed 47 yard field goal,17,31
,10:01,Chargers,LaDainian Tomlinson 2 yard rush (Steve Christie kick),24,31
,5:04,Steelers,Jeff Reed 40 yard field goal,24,34
,4:29,Steelers,Deshea Townsend 25 yard interception return (Jeff Reed kick failed),24,40
