Quarter,Time,Tm,Detail,ARI,SEA
1.0,7:47,Cardinals,Neil Rackers 38 yard field goal,3,0
,0:04,Cardinals,J.J. Arrington 4 yard rush (Neil Rackers kick),10,0
2.0,4:34,Cardinals,Neil Rackers 48 yard field goal,13,0
,0:57,Seahawks,Maurice Morris 13 yard pass from Matt Hasselbeck (Olindo Mare kick),13,7
,0:00,Cardinals,Neil Rackers 54 yard field goal,16,7
3.0,9:36,Cardinals,Neil Rackers 26 yard field goal,19,7
,1:55,Cardinals,J.J. Arrington 6 yard pass from Kurt Warner (Neil Rackers kick),26,7
4.0,12:46,Seahawks,T.J. Duckett 1 yard rush (pass failed),26,13
,9:41,Seahawks,T.J. Duckett 2 yard rush (Olindo Mare kick),26,20
