Unnamed: 0,ARI,SEA
First Downs,24,18
Rush-Yds-TDs,24-76-1,22-43-2
Cmp-Att-Yd-TD-INT,32-44-395-1-1,17-29-170-1-3
Sacked-Yards,2-13,2-17
Net Pass Yards,382,153
Total Yards,458,196
Fumbles-Lost,3-2,2-1
Turnovers,3,4
Penalties-Yards,8-52,1-15
Third Down Conv.,6-12,1-9
Fourth Down Conv.,0-0,2-2
Time of Possession,34:05,25:55
