Unnamed: 0,JAX,GNB
First Downs,19,26
Rush-Yds-TDs,36-197-2,21-94-0
Cmp-Att-Yd-TD-INT,9-20-121-2-0,30-44-367-2-3
Sacked-Yards,1-6,2-17
Net Pass Yards,115,350
Total Yards,312,444
Fumbles-Lost,3-2,4-2
Turnovers,2,5
Penalties-Yards,7-85,12-101
Third Down Conv.,3-11,6-11
Fourth Down Conv.,1-1,0-0
Time of Possession,30:42,29:18
