Quarter,Time,Tm,Detail,JAX,GNB
1.0,12:56,Jaguars,Jimmy Smith 31 yard pass from Byron Leftwich (Josh Scobee kick),7,0
2.0,13:35,Packers,Ryan Longwell 35 yard field goal,7,3
,4:44,Packers,Darren Sharper 15 yard defensive fumble return (Ryan Longwell kick),7,10
,2:28,Jaguars,Jimmy Smith 16 yard pass from Byron Leftwich (Josh Scobee kick),14,10
3.0,11:44,Packers,Donald Driver 32 yard pass from Brett Favre (Ryan Longwell kick),14,17
,10:15,Jaguars,Fred Taylor 37 yard rush (Josh Scobee kick),21,17
4.0,9:49,Jaguars,Greg Jones 1 yard rush (Josh Scobee kick),28,17
,1:08,Packers,Antonio Chatman 6 yard pass from Brett Favre (Donald Driver pass from Brett Favre),28,25
