Unnamed: 0,ATL,MIN
First Downs,19,21
Rush-Yds-TDs,29-227-3,32-139-2
Cmp-Att-Yd-TD-INT,11-28-173-1-1,23-43-266-1-3
Sacked-Yards,2-21,6-36
Net Pass Yards,152,230
Total Yards,379,369
Fumbles-Lost,2-2,1-0
Turnovers,3,3
Penalties-Yards,5-34,10-95
Third Down Conv.,3-10,7-19
Fourth Down Conv.,0-0,1-1
Time of Possession,25:40,36:45
