Quarter,Time,Tm,Detail,ATL,MIN
1,9:38,Vikings,Daunte Culpepper 1 yard rush (Gary Anderson kick),0,7
2,12:48,Falcons,Bob Christian 1 yard rush (Jay Feely kick),7,7
,2:40,Vikings,Hunter Goodwin 2 yard pass from Daunte Culpepper (Gary Anderson kick),7,14
,0:37,Falcons,Brian Finneran 39 yard pass from Michael Vick (Jay Feely kick),14,14
3,3:19,Vikings,Michael Bennett 1 yard rush (Gary Anderson kick),14,21
,1:00,Falcons,Michael Vick 28 yard rush (Jay Feely kick),21,21
4,3:33,Falcons,Jay Feely 44 yard field goal,24,21
,0:11,Vikings,Gary Anderson 29 yard field goal,24,24
OT,12:35,Falcons,Michael Vick 46 yard rush,30,24
