Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Jay Feely kicks off 63 yards, returned by Tyrone Carter for 18 yards (tackle by Mark Simoneau)",0.000,0.610
1,14:56,1,10,MIN 25,0,0,Daunte Culpepper pass complete to Jim Kleinsasser for 13 yards (tackle by Chris Draft),0.610,1.470
1,14:36,1,10,MIN 38,0,0,Michael Bennett left guard for 4 yards (tackle by Chris Draft and Patrick Kerney),1.470,1.460
1,14:01,2,6,MIN 42,0,0,Daunte Culpepper pass complete to Randy Moss for 10 yards (tackle by Chris Draft and Juran Bolden),1.460,2.390
1,13:19,1,10,ATL 48,0,0,Michael Bennett middle for 1 yard (tackle by Ed Jasper and Chris Draft),2.390,1.980
1,12:45,2,9,ATL 47,0,0,Daunte Culpepper pass complete to D'Wayne Bates for 30 yards (tackle by Ashley Ambrose),1.980,4.440
1,12:02,1,10,ATL 17,0,0,Michael Bennett middle for 3 yards (tackle by Ed Jasper),4.440,4.320
1,11:21,2,7,ATL 14,0,0,Daunte Culpepper pass complete to Chris Walsh for 8 yards (tackle by Fred Weary),4.320,5.830
1,10:53,1,6,ATL 6,0,0,Daunte Culpepper pass incomplete intended for Randy Moss,5.830,4.950
1,10:48,2,6,ATL 6,0,0,Daunte Culpepper right tackle for 5 yards (tackle by Keith Brooking and Patrick Kerney),4.950,5.170
1,10:16,3,1,ATL 1,0,0,Moe Williams middle for no gain (tackle by Mark Simoneau and Brady Smith),5.170,3.550
1,9:40,3,1,ATL 1,,,Timeout #1 by Atlanta Falcons,5.170,3.550
1,9:40,4,1,ATL 1,0,6,"Daunte Culpepper middle for 1 yard, touchdown",3.550,7.000
1,9:40,,,ATL 1,0,7,Gary Anderson kicks extra point good,0.000,0.000
1,9:40,,,MIN 30,0,7,"Hayden Epstein kicks off 60 yards, returned by Allen Rossum for 18 yards (tackle by Jim Nelson)",0.000,-0.810
1,9:34,1,10,ATL 28,0,7,Warrick Dunn right guard for 1 yard (tackle by Tyrone Carter and Kenny Mixon),0.810,0.400
1,8:56,2,9,ATL 29,0,7,Michael Vick pass complete to Reggie Kelly for 3 yards (tackle by Eric Kelly),0.400,0.100
1,8:12,3,6,ATL 32,0,7,Michael Vick pass incomplete,0.100,-1.240
1,8:01,4,6,ATL 32,0,7,"Chris Mohr punts 34 yards, fair catch by Nick Davis. Penalty on Kelly Campbell: Unnecessary Roughness, 15 yards, Penalty on Brian Russell: Offensive Holding (Declined)",-1.240,-0.150
1,7:54,1,10,MIN 19,0,7,Daunte Culpepper pass incomplete intended for Kelly Campbell,0.150,-0.390
1,7:47,2,10,MIN 19,0,7,Daunte Culpepper pass complete to Randy Moss for 20 yards (tackle by Keion Carpenter),-0.390,1.530
1,7:13,1,10,MIN 39,0,7,Michael Bennett middle for -1 yards (tackle by John Thierry),1.530,0.850
1,6:35,2,11,MIN 38,0,7,Daunte Culpepper pass incomplete intended for Jim Kleinsasser,0.850,0.170
1,6:32,3,11,MIN 38,0,7,Daunte Culpepper sacked by Brady Smith for -1 yards,0.170,-0.910
1,6:22,4,12,MIN 37,0,7,"Kyle Richardson punts 45 yards, returned by Allen Rossum for no gain. Penalty on Shawn Jefferson: Illegal Use of Hands, 9 yards",-0.910,0.380
1,6:09,1,10,ATL 9,0,7,Warrick Dunn middle for 2 yards (tackle by Greg Biekert and Nick Rogers),-0.380,-0.630
1,5:28,2,8,ATL 11,0,7,Michael Vick for 9 yards (tackle by Lance Johnstone and Nick Rogers),-0.630,0.280
1,4:44,1,10,ATL 20,0,7,Michael Vick pass complete to Reggie Kelly for 10 yards (tackle by Greg Biekert),0.280,0.940
1,3:58,1,10,ATL 30,0,7,Warrick Dunn right end for 7 yards (tackle by Eric Kelly and Lance Johnstone),0.940,1.340
1,3:11,2,3,ATL 37,0,7,Warrick Dunn right end for 1 yard (tackle by Henri Crockett and Ronnie Bradford),1.340,0.760
1,2:26,3,2,ATL 38,0,7,Michael Vick pass complete to Brian Finneran for 11 yards (tackle by Eric Kelly),0.760,2.190
1,2:04,1,10,ATL 49,0,7,Warrick Dunn left guard for 3 yards (tackle by Henri Crockett),2.190,2.050
1,1:24,2,7,MIN 48,0,7,Michael Vick pass incomplete intended for Shawn Jefferson,2.050,1.360
1,1:19,3,7,MIN 48,0,7,Michael Vick sacked by Nick Rogers for -12 yards,1.360,-0.720
1,1:14,4,19,ATL 40,0,7,"Chris Mohr punts 44 yards, returned by Nick Davis for -5 yards (tackle by Kevin McCadam)",-0.720,0.370
1,1:04,1,10,MIN 11,0,7,Michael Bennett left end for 3 yards (tackle by Sam Rogers),-0.370,-0.530
1,0:29,2,7,MIN 14,0,7,Daunte Culpepper for 2 yards (tackle by Matt Stewart),-0.530,-0.840
1,0:06,3,5,MIN 16,0,7,Daunte Culpepper pass complete to Randy Moss for 12 yards (tackle by Ray Buchanan),-0.840,0.810
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 28,0,7,"Daunte Culpepper middle for 11 yards (tackle by Chris Draft). Penalty on Everett Lindsay: Offensive Holding, 10 yards (no play)",0.810,-0.040
2,14:34,1,20,MIN 18,0,7,Daunte Culpepper pass complete to Jim Kleinsasser for 11 yards (tackle by Ray Buchanan),-0.040,0.400
