Unnamed: 0,LAR,TEN
First Downs,20,19
Rush-Yds-TDs,26-116-0,26-97-1
Cmp-Att-Yd-TD-INT,22-39-301-4-0,22-39-275-0-1
Sacked-Yards,1-15,1-6
Net Pass Yards,286,269
Total Yards,402,366
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,5-44,5-54
Third Down Conv.,6-14,3-12
Fourth Down Conv.,1-2,0-1
Time of Possession,30:04,29:56
