Quarter,Time,Down,ToGo,Location,LAR,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks off 67 yards, returned by Pharoh Cooper for 12 yards (tackle by Nate Palmer)",0.000,0.380
1,14:54,1,10,LAR 10,0,0,Todd Gurley right guard for 7 yards (tackle by Avery Williamson),-0.380,-0.090
1,14:18,2,3,LAR 17,0,0,Jared Goff pass complete short left to Sammy Watkins for 11 yards (tackle by Tye Smith),-0.090,0.810
1,13:43,1,10,LAR 28,0,0,Jared Goff pass complete short right to Todd Gurley for 19 yards (tackle by Jurrell Casey),0.810,2.060
1,13:09,1,10,LAR 47,0,0,Jared Goff pass complete short right to Tyler Higbee for 5 yards (tackle by Wesley Woodyard),2.060,2.190
1,12:35,2,5,TEN 48,0,0,Jared Goff pass complete short middle to Sammy Watkins for 16 yards (tackle by Tye Smith and Kevin Byard),2.190,3.450
1,12:07,1,10,TEN 32,0,0,Jared Goff pass incomplete short left intended for Sammy Watkins,3.450,2.900
1,12:03,2,10,TEN 32,0,0,Jared Goff pass incomplete,2.900,2.210
1,11:55,3,10,TEN 32,0,0,Jared Goff pass incomplete short right intended for Todd Gurley,2.210,1.240
1,11:47,4,10,TEN 32,0,0,Penalty on Johnny Hekker: Delay of Game (Declined),1.240,1.240
1,11:47,4,10,TEN 32,0,0,Johnny Hekker pass incomplete deep right intended for Mike Thomas (defended by Curtis Riley),1.240,-1.140
1,11:41,1,10,TEN 33,0,0,DeMarco Murray left tackle for 2 yards (tackle by Michael Brockers and Alec Ogletree),1.140,0.860
1,11:11,2,8,TEN 35,0,0,Marcus Mariota pass incomplete deep left intended for Rishard Matthews is intercepted by Cory Littleton at LAR-45 and returned for 2 yards,0.860,-2.060
1,11:01,1,10,LAR 47,0,0,Jared Goff pass complete short middle to Todd Gurley for 11 yards (tackle by Kevin Byard),2.060,2.790
1,10:18,1,10,TEN 42,0,0,Jared Goff pass complete deep left to Cooper Kupp for 34 yards,2.790,5.370
1,9:57,1,8,TEN 8,0,0,"Penalty on TEN: Defensive 12 On-field, 4 yards (no play)",5.370,6.280
1,9:32,1,4,TEN 4,0,0,Todd Gurley right guard for 1 yard (tackle by Austin Johnson and Kevin Dodd),6.280,5.530
1,8:56,2,3,TEN 3,6,0,"Jared Goff pass complete short right to Todd Gurley for 3 yards, touchdown",5.530,7.000
1,8:54,,,TEN 15,6,0,Sam Ficken kicks extra point no good,0.000,-1.000
1,8:54,,,LAR 35,6,0,"Sam Ficken kicks off 65 yards, returned by Adoree' Jackson for 31 yards (tackle by Samson Ebukam)",0.000,-1.000
1,8:48,1,10,TEN 31,6,0,DeMarco Murray right tackle for 2 yards (tackle by Robert Quinn and Trumaine Johnson),1.000,0.730
1,8:08,2,8,TEN 33,6,0,DeMarco Murray left tackle for 2 yards (tackle by Michael Brockers and Connor Barwin),0.730,0.300
1,7:29,3,6,TEN 35,6,0,Marcus Mariota pass complete deep middle to Corey Davis for 18 yards (tackle by Troy Hill). Penalty on Robert Quinn: Defensive Offside (Declined),0.300,2.460
1,7:02,1,10,LAR 47,6,0,Marcus Mariota pass complete short right to Jonnu Smith for 13 yards (tackle by John Johnson),2.460,3.310
1,6:25,1,10,LAR 34,6,0,DeMarco Murray left end for 9 yards (tackle by Lamarcus Joyner),3.310,3.990
1,5:46,2,1,LAR 25,6,0,Derrick Henry left guard for 6 yards (tackle by John Johnson),3.990,4.310
1,5:04,1,10,LAR 19,6,0,Marcus Mariota pass incomplete deep left intended for Jonnu Smith,4.310,3.750
1,4:58,2,10,LAR 19,6,0,Marcus Mariota pass complete short right to Eric Decker for 13 yards (tackle by Lamarcus Joyner),3.750,5.830
1,4:15,1,6,LAR 6,6,0,Marcus Mariota pass complete short left to Eric Decker for 5 yards (tackle by Troy Hill),5.830,5.910
,,,,,,,"LAR challenged the runner was down by contact ruling, and the play was upheld.",,
1,3:32,2,1,LAR 1,6,0,Derrick Henry middle for no gain (tackle by Marqui Christian and Alec Ogletree),5.910,5.170
1,2:56,3,1,LAR 1,6,0,Marcus Mariota pass incomplete short middle intended for Delanie Walker. Penalty on Robert Quinn: Defensive Holding (no play),5.170,6.970
1,2:51,1,1,LAR 1,6,0,"Penalty on Luke Stocker: False Start, 4 yards (no play)",6.970,6.060
1,2:51,1,5,LAR 5,6,0,Marcus Mariota sacked by Cory Littleton for -6 yards,6.060,4.020
1,2:09,2,11,LAR 11,6,0,Marcus Mariota pass complete short right to Corey Davis for 4 yards (tackle by Trumaine Johnson),4.020,3.810
1,1:23,3,7,LAR 7,6,0,Marcus Mariota pass incomplete short right intended for Delanie Walker (defended by Alec Ogletree),3.810,2.970
1,1:17,4,7,LAR 7,6,3,Ryan Succop 25 yard field goal good,2.970,3.000
1,1:13,,,TEN 35,6,3,"Ryan Succop kicks off 69 yards, returned by Pharoh Cooper for 25 yards (tackle by Nate Palmer)",0.000,-0.340
