Unnamed: 0,BUF,CLE
First Downs,20,19
Rush-Yds-TDs,31-155-3,32-91-1
Cmp-Att-Yd-TD-INT,19-40-209-0-1,15-28-222-1-0
Sacked-Yards,4-21,5-23
Net Pass Yards,188,199
Total Yards,343,290
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,7-56,6-66
Third Down Conv.,5-16,7-17
Fourth Down Conv.,1-2,0-0
Time of Possession,27:37,32:23
