Quarter,Time,Tm,Detail,BUF,CLE
1.0,13:16,Bills,Fred Jackson 1 yard rush (Dan Carpenter kick),7,0
,5:51,Bills,Dan Carpenter 52 yard field goal,10,0
2.0,14:24,Browns,Billy Cundiff 30 yard field goal,10,3
,3:52,Browns,Willis McGahee 1 yard rush (Billy Cundiff kick),10,10
,2:20,Browns,Travis Benjamin 79 yard punt return (Billy Cundiff kick),10,17
3.0,13:51,Bills,C.J. Spiller 54 yard rush (Dan Carpenter kick),17,17
,6:32,Bills,Fred Jackson 1 yard rush (Dan Carpenter kick),24,17
,5:35,Browns,Josh Gordon 37 yard pass from Brandon Weeden (Billy Cundiff kick),24,24
4.0,12:31,Browns,Billy Cundiff 24 yard field goal,24,27
,2:19,Browns,Billy Cundiff 44 yard field goal,24,30
,1:44,Browns,T.J. Ward 44 yard interception return (Billy Cundiff kick),24,37
