Quarter,Time,Tm,Detail,PIT,SFO
1.0,3:25,49ers,David Akers 22 yard field goal,0,3
2.0,12:13,49ers,David Akers 38 yard field goal,0,6
3.0,6:08,Steelers,Shaun Suisham 51 yard field goal,3,6
,3:44,49ers,Vernon Davis 1 yard pass from Alex Smith (David Akers kick),3,13
4.0,9:06,49ers,Frank Gore 5 yard rush (David Akers kick),3,20
