Unnamed: 0,PIT,SFO
First Downs,20,17
Rush-Yds-TDs,19-84-0,30-100-1
Cmp-Att-Yd-TD-INT,25-44-330-0-3,18-31-187-1-0
Sacked-Yards,3-25,0-0
Net Pass Yards,305,187
Total Yards,389,287
Fumbles-Lost,2-1,0-0
Turnovers,4,0
Penalties-Yards,9-72,7-49
Third Down Conv.,8-14,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:26,28:34
