Quarter,Time,Tm,Detail,GNB,SDG
1.0,10:32,Chargers,Vincent Jackson 23 yard pass from Philip Rivers (Nick Novak kick),0,7
,5:40,Packers,Jermichael Finley 5 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
,4:33,Packers,Charlie Peprah 40 yard interception return (Mason Crosby kick),14,7
,1:52,Packers,Tramon Williams 43 yard interception return (Mason Crosby kick),21,7
2.0,14:08,Chargers,Mike Tolbert 8 yard rush (Nick Novak kick),21,14
,5:48,Chargers,Nick Novak 52 yard field goal,21,17
,0:18,Packers,Jordy Nelson 16 yard pass from Aaron Rodgers (Mason Crosby kick),28,17
3.0,8:25,Packers,Mason Crosby 47 yard field goal,31,17
,1:58,Chargers,Antonio Gates 11 yard pass from Philip Rivers (Nick Novak kick),31,24
4.0,13:00,Packers,James Jones 21 yard pass from Aaron Rodgers (Mason Crosby kick),38,24
,10:27,Packers,Greg Jennings 4 yard pass from Aaron Rodgers (Mason Crosby kick),45,24
,7:32,Chargers,Vincent Jackson 5 yard pass from Philip Rivers (Nick Novak kick),45,31
,6:25,Chargers,Vincent Jackson 29 yard pass from Philip Rivers (Nick Novak kick),45,38
