Quarter,Time,Down,ToGo,Location,GNB,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,Philip Rivers pass complete short right to Vincent Jackson for 23 yards (tackle by Sam Shields),0.280,1.800
1,14:38,1,10,SDG 43,0,0,Mike Tolbert up the middle for 9 yards (tackle by Desmond Bishop),1.800,2.470
1,14:04,2,1,GNB 48,0,0,Jacob Hester up the middle for 3 yards (tackle by A.J. Hawk and Charlie Peprah),2.470,2.590
1,13:20,1,10,GNB 45,0,0,Philip Rivers pass complete short left to Vincent Jackson for 11 yards (tackle by Tramon Williams),2.590,3.310
1,12:45,1,10,GNB 34,0,0,Mike Tolbert up the middle for 8 yards (tackle by Ryan Pickett and Desmond Bishop),3.310,3.850
1,12:05,2,2,GNB 26,0,0,Mike Tolbert up the middle for 1 yard (tackle by Charlie Peprah and Desmond Bishop),3.850,3.270
1,11:23,3,1,GNB 25,0,0,Mike Tolbert up the middle for 2 yards (tackle by Erik Walden),3.270,4.040
1,10:38,1,10,GNB 23,0,6,"Philip Rivers pass complete deep middle to Vincent Jackson for 23 yards, touchdown",4.040,7.000
1,,,,GNB 2,0,7,Nick Novak kicks extra point good,0.000,0.000
1,,,,SDG 35,0,7,"Nick Novak kicks off 54 yards, returned by Randall Cobb for 26 yards (tackle by Dante Hughes)",0.000,1.400
1,10:26,1,10,GNB 37,0,7,Aaron Rodgers pass complete short right to Jermichael Finley for 9 yards (tackle by Quentin Jammer),1.400,2.070
1,9:53,2,1,GNB 46,0,7,"Penalty on T.J. Lang: False Start, 5 yards (no play)",2.070,1.400
1,9:31,2,6,GNB 41,0,7,Aaron Rodgers up the middle for 9 yards (tackle by Takeo Spikes),1.400,2.260
1,8:52,1,10,,0,7,Aaron Rodgers pass complete short right to John Kuhn for 4 yards (tackle by Donald Butler),2.260,2.250
1,8:13,2,6,SDG 46,0,7,Ryan Grant left tackle for 2 yards (tackle by Antwan Barnes and Antonio Garay),2.250,1.820
1,7:32,3,4,SDG 44,0,7,Aaron Rodgers up the middle for 11 yards (tackle by Marcus Gilchrist),1.820,3.380
1,6:52,1,10,SDG 33,0,7,Ryan Grant right end for 3 yards (tackle by Steve Gregory),3.380,3.240
1,6:19,2,7,SDG 30,0,7,Aaron Rodgers for 4 yards (tackle by Donald Butler),3.240,3.070
1,5:46,3,3,SDG 26,0,7,"Aaron Rodgers pass incomplete deep right intended for Jordy Nelson. Penalty on Marcus Gilchrist: Defensive Pass Interference, 21 yards (no play)",3.070,6.060
1,5:41,1,5,SDG 5,6,7,"Aaron Rodgers pass complete short right to Jermichael Finley for 5 yards, touchdown",6.060,7.000
1,,,,SDG 2,7,7,Mason Crosby kicks extra point good,0.000,0.000
