Unnamed: 0,GNB,SDG
First Downs,21,28
Rush-Yds-TDs,26-136-0,21-85-1
Cmp-Att-Yd-TD-INT,21-26-247-4-0,26-46-385-4-3
Sacked-Yards,4-15,2-10
Net Pass Yards,232,375
Total Yards,368,460
Fumbles-Lost,0-0,2-0
Turnovers,0,3
Penalties-Yards,5-33,8-64
Third Down Conv.,6-10,5-11
Fourth Down Conv.,0-1,0-0
Time of Possession,29:45,30:15
