Unnamed: 0,CIN,CLE
First Downs,12,13
Rush-Yds-TDs,46-191-0,29-141-0
Cmp-Att-Yd-TD-INT,5-9-55-1-0,12-22-72-0-4
Sacked-Yards,0-0,3-31
Net Pass Yards,55,41
Total Yards,246,182
Fumbles-Lost,3-1,0-0
Turnovers,1,4
Penalties-Yards,2-20,9-65
Third Down Conv.,7-14,4-12
Fourth Down Conv.,0-0,0-1
Time of Possession,31:47,28:13
