Quarter,Time,Tm,Detail,CHI,DET
1.0,10:54,Bears,Cole Kmet 13 yard pass from Justin Fields (Cairo Santos kick),7,0
,6:45,Lions,Brock Wright 2 yard pass from Jared Goff (Michael Badgley kick),7,7
,2:26,Bears,Cairo Santos 23 yard field goal,10,7
2.0,14:24,Lions,D'Andre Swift 17 yard rush (Michael Badgley kick),10,14
,4:16,Lions,Brock Wright 9 yard pass from Jared Goff (Michael Badgley kick),10,21
,0:17,Lions,Michael Badgley 23 yard field goal,10,24
3.0,11:34,Lions,Jamaal Williams 2 yard rush (Michael Badgley kick),10,31
,6:36,Lions,D'Andre Swift 21 yard pass from Jared Goff (Michael Badgley kick),10,38
4.0,2:40,Lions,Michael Badgley 41 yard field goal,10,41
