Quarter,Time,Tm,Detail,JAX,ATL
1.0,11:27,Falcons,Devonta Freeman 17 yard rush (Younghoe Koo kick),0,7
,9:28,Falcons,Devonta Freeman 8 yard pass from Matt Ryan (Younghoe Koo kick),0,14
2.0,9:12,Jaguars,Josh Lambo 40 yard field goal,3,14
,0:10,Falcons,Younghoe Koo 23 yard field goal,3,17
3.0,2:29,Jaguars,Josh Lambo 27 yard field goal,6,17
4.0,13:36,Falcons,Qadree Ollison 3 yard rush (Younghoe Koo kick),6,24
,12:00,Jaguars,Chris Conley 42 yard pass from Gardner Minshew II (pass failed),12,24
