Quarter,Time,Down,ToGo,Location,JAX,ATL,Detail,EPB,EPA
2,12:59,3,4,JAX 38,0,14,Gardner Minshew pass incomplete short left intended for Chris Conley (defended by Isaiah Oliver),0.630,-0.850
2,12:55,4,4,JAX 38,0,14,Logan Cooke pass complete short right to Cody Davis for 7 yards (tackle by Jamal Carter),-0.850,1.930
2,12:10,1,10,JAX 45,0,14,Leonard Fournette left guard for 3 yards (tackle by De'Vondre Campbell),1.930,1.790
2,11:32,2,7,JAX 48,0,14,Leonard Fournette left end for 23 yards (tackle by Damontae Kazee),1.790,3.640
2,10:59,1,10,ATL 29,0,14,Keelan Cole left end for 6 yards (tackle by Ricardo Allen),3.640,3.910
2,10:34,2,4,ATL 23,0,14,Ryquell Armstead left tackle for 2 yards (tackle by De'Vondre Campbell and Ricardo Allen),3.910,3.470
2,9:53,3,2,ATL 21,0,14,Leonard Fournette left tackle for -1 yards (tackle by Jacob Tuioti-Mariner and De'Vondre Campbell),3.470,2.090
2,9:17,4,3,ATL 22,3,14,Josh Lambo 40 yard field goal good,2.090,3.000
2,9:12,,,JAX 35,3,14,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
2,9:12,1,10,ATL 25,3,14,Matt Ryan pass complete short left to Julio Jones for 16 yards (tackle by A.J. Bouye),0.610,1.660
2,8:42,1,10,ATL 41,3,14,"Devonta Freeman right tackle for 14 yards (tackle by Austin Calitro). Penalty on Alex Mack: Offensive Holding, 10 yards",1.660,2.250
2,8:15,1,6,ATL 45,3,14,Devonta Freeman left tackle for 2 yards (tackle by Taven Bryan and Donald Payne),2.250,1.930
2,7:38,2,4,ATL 47,3,14,Matt Ryan pass incomplete short left,1.930,1.220
2,7:34,3,4,ATL 47,3,14,Matt Ryan pass complete short middle to Russell Gage for 12 yards (tackle by Tre Herndon),1.220,2.850
2,6:57,1,10,JAX 41,3,14,Devonta Freeman right end for -6 yards (tackle by Donald Payne),2.850,1.500
2,6:19,2,16,JAX 47,3,14,"Devonta Freeman left tackle for 9 yards (tackle by Donald Payne and D.J. Hayden). Penalty on Wes Schweitzer: Offensive Holding, 10 yards (no play)",1.500,0.150
2,5:52,2,26,ATL 43,3,14,Matt Ryan pass complete short middle to Russell Gage for 17 yards (tackle by Jarrod Wilson),0.150,1.750
2,5:14,3,9,JAX 40,3,14,Matt Ryan pass incomplete short right intended for Russell Gage,1.750,0.590
2,5:10,4,9,JAX 40,3,14,Ryan Allen punts 39 yards downed by Brian Hill,0.590,0.380
2,4:58,1,10,JAX 1,3,14,Leonard Fournette left tackle for 5 yards (tackle by Foyesade Oluokun),-0.380,-0.420
2,4:18,2,5,JAX 6,3,14,Leonard Fournette right guard for 3 yards (tackle by De'Vondre Campbell and Tyeler Davison),-0.420,-0.480
2,3:37,3,2,JAX 9,3,14,Gardner Minshew pass complete short left to Dede Westbrook for 2 yards (tackle by Kendall Sheffield),-0.480,-0.370
2,2:51,1,10,JAX 11,3,14,Gardner Minshew sacked by Vic Beasley for -7 yards,-0.370,-1.290
2,2:06,2,17,JAX 4,3,14,Gardner Minshew pass incomplete short left intended for DJ Chark,-1.290,-2.240
2,2:02,3,17,JAX 4,3,14,Gardner Minshew pass incomplete short middle,-2.240,-2.490
2,1:58,4,17,JAX 4,3,14,"Logan Cooke punts 57 yards, muffed catch by Kenjon Barner, recovered by Kenjon Barner at ATL-41, returned by Kenjon Barner for no gain (tackle by Brandon Watson)",-2.490,-1.660
2,1:47,1,10,ATL 41,3,14,Matt Ryan pass complete short left to Devonta Freeman for 7 yards (tackle by Austin Calitro),1.660,2.070
2,1:43,2,3,ATL 48,3,14,Matt Ryan left end for 9 yards (tackle by Ronnie Harrison),2.070,2.720
2,1:36,1,10,JAX 43,3,14,Matt Ryan pass complete short left to Austin Hooper for 4 yards (tackle by Jarrod Wilson),2.720,2.720
2,1:17,2,6,JAX 39,3,14,Matt Ryan pass incomplete short right intended for Austin Hooper,2.720,2.010
2,1:12,3,6,JAX 39,3,14,Matt Ryan pass complete short right to Julio Jones for 12 yards (tackle by Cody Davis and A.J. Bouye),2.010,3.780
2,0:52,1,10,JAX 27,3,14,Matt Ryan pass complete short right to Austin Hooper for 6 yards (tackle by Jarrod Wilson),3.780,4.040
2,0:44,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:44,2,4,JAX 21,3,14,Matt Ryan pass complete short middle to Devonta Freeman for 8 yards (tackle by Donald Payne),4.040,4.710
2,0:38,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:38,1,10,JAX 13,3,14,Matt Ryan pass incomplete short right,4.710,4.050
2,0:34,2,10,JAX 13,3,14,Matt Ryan pass complete short middle to Julio Jones for 3 yards (tackle by Ronnie Harrison),4.050,3.650
2,0:18,3,7,JAX 10,3,14,Matt Ryan pass complete short right to Austin Hooper for 5 yards,3.650,3.030
2,0:14,4,2,JAX 5,3,17,Younghoe Koo 23 yard field goal good,3.030,3.000
2,0:10,,,ATL 35,3,17,"Younghoe Koo kicks off 69 yards, returned by Michael Walker for 30 yards (tackle by Ahmad Thomas). Penalty on Andrew Wingard: Illegal Block Above the Waist, 10 yards",0.000,-0.140
2,0:04,1,10,JAX 16,3,17,Gardner Minshew kneels for -1 yards,-0.140,-0.780
Quarter,Time,Down,ToGo,Location,JAX,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,3,17,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,JAX 25,3,17,Gardner Minshew pass complete short right to DJ Chark for 17 yards (tackle by Ricardo Allen and Blidi Wreh-Wilson),0.610,1.730
3,14:17,1,10,JAX 42,3,17,Leonard Fournette right tackle for 4 yards (tackle by De'Vondre Campbell and Grady Jarrett),1.730,1.730
3,13:38,2,6,JAX 46,3,17,Gardner Minshew pass complete short left to DJ Chark for 1 yard (tackle by Deion Jones),1.730,1.160
3,12:56,3,5,JAX 47,3,17,"Gardner Minshew pass complete short right to Chris Conley for 13 yards (tackle by Kendall Sheffield and Blidi Wreh-Wilson). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (no play)",1.160,-0.160
3,12:28,3,15,JAX 37,3,17,Gardner Minshew pass complete short left to Leonard Fournette for 6 yards (tackle by De'Vondre Campbell and Isaiah Oliver),-0.160,-0.520
3,11:48,4,9,JAX 43,3,17,Logan Cooke punts 35 yards out of bounds,-0.520,-0.410
3,11:40,1,10,ATL 22,3,17,Devonta Freeman left tackle for 3 yards (tackle by Donald Payne and Leon Jacobs),0.410,0.270
3,11:00,2,7,ATL 25,3,17,Devonta Freeman left tackle for 3 yards (tackle by Tre Herndon),0.270,-0.030
3,10:20,3,4,ATL 28,3,17,Matt Ryan pass complete short left to Devonta Freeman for 14 yards (tackle by Donald Payne),-0.030,1.730
3,9:45,1,10,ATL 42,3,17,Matt Ryan pass complete deep left to Julio Jones for 21 yards (tackle by A.J. Bouye),1.730,3.120
3,9:24,1,10,JAX 37,3,17,Matt Ryan pass incomplete short right intended for Luke Stocker (defended by Austin Calitro),3.120,2.570
3,9:20,2,10,JAX 37,3,17,Matt Ryan pass incomplete short left intended for Julio Jones,2.570,1.880
3,9:15,3,10,JAX 37,3,17,Matt Ryan pass incomplete short left intended for Austin Hooper,1.880,0.790
3,9:12,4,10,JAX 37,3,17,Ryan Allen punts 35 yards downed by Brian Hill,0.790,0.380
3,9:02,1,10,JAX 2,3,17,"Penalty on Cam Robinson: False Start, 1 yard (no play)",-0.380,-0.420
3,9:02,1,11,JAX 1,3,17,Leonard Fournette left guard for 2 yards (tackle by Jacob Tuioti-Mariner),-0.420,-0.710
3,8:19,2,9,JAX 3,3,17,Leonard Fournette right tackle for 1 yard (tackle by Foyesade Oluokun),-0.710,-1.190
3,7:34,3,8,JAX 4,3,17,Gardner Minshew pass incomplete short left intended for Leonard Fournette,-1.190,-2.490
3,7:29,4,8,JAX 4,3,17,"Logan Cooke punts 55 yards, returned by Kenjon Barner for 8 yards (tackle by Andrew Wingard and Cody Davis)",-2.490,-2.190
3,7:16,1,10,ATL 49,3,17,"Penalty on Akeem Spence: Neutral Zone Infraction, 5 yards (no play)",2.190,2.920
3,7:16,1,5,JAX 46,3,17,Brian Hill right guard for 8 yards (tackle by Donald Payne),2.920,3.050
3,6:47,1,10,JAX 38,3,17,Matt Ryan pass short right intended for Julio Jones is intercepted by Jarrod Wilson at JAC-25 and returned for 4 yards,3.050,-0.870
3,6:39,1,10,JAX 29,3,17,"Gardner Minshew right end for 3 yards (tackle by De'Vondre Campbell). Penalty on Foyesade Oluokun: Defensive Holding, 5 yards",0.870,1.400
3,6:15,1,10,JAX 37,3,17,Gardner Minshew right end for 17 yards (tackle by De'Vondre Campbell),1.400,2.520
3,5:44,1,10,ATL 46,3,17,Gardner Minshew sacked by Grady Jarrett for -6 yards,2.520,1.170
3,4:57,2,16,JAX 48,3,17,Gardner Minshew pass complete short right to Leonard Fournette for 12 yards (tackle by Adrian Clayborn),1.170,2.080
3,4:38,3,4,ATL 40,3,17,Leonard Fournette left tackle for 7 yards (tackle by De'Vondre Campbell),2.080,3.380
3,4:04,1,10,ATL 33,3,17,"Gardner Minshew pass incomplete deep middle intended for Chris Conley. Penalty on Kendall Sheffield: Defensive Holding, 5 yards (no play)",3.380,3.710
3,3:58,1,10,ATL 28,3,17,"Gardner Minshew pass incomplete short left intended for DJ Chark. Penalty on Isaiah Oliver: Defensive Pass Interference, 13 yards (no play)",3.710,4.580
3,3:54,1,10,ATL 15,3,17,Gardner Minshew pass incomplete short right intended for Chris Conley,4.580,3.950
3,3:48,2,10,ATL 15,3,17,Leonard Fournette left guard for 3 yards (tackle by Foyesade Oluokun and Tyeler Davison),3.950,3.580
3,3:02,3,7,ATL 12,3,17,Gardner Minshew right end for 3 yards (tackle by Allen Bailey),3.580,2.900
3,2:32,4,4,ATL 9,6,17,Josh Lambo 27 yard field goal good,2.900,3.000
3,2:29,,,JAX 35,6,17,"Logan Cooke kicks off 65 yards, returned by Kenjon Barner for 13 yards (tackle by Michael Walker)",0.000,-0.320
3,2:24,1,10,ATL 13,6,17,Matt Ryan pass complete deep left to Julio Jones for 32 yards (tackle by Jarrod Wilson and Austin Calitro),-0.320,1.930
3,1:46,1,10,ATL 45,6,17,Russell Gage right end for 3 yards (tackle by Josh Allen),1.930,1.790
3,1:12,2,7,ATL 48,6,17,Matt Ryan pass complete short left to Russell Gage for 8 yards (tackle by Jarrod Wilson),1.790,2.650
3,0:39,1,10,JAX 44,6,17,Brian Hill left tackle for 18 yards (tackle by A.J. Bouye),2.650,3.840
Quarter,Time,Down,ToGo,Location,JAX,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 26,6,17,Brian Hill right guard for 17 yards (tackle by Andrew Wingard),3.840,5.140
4,14:18,1,9,JAX 9,6,17,Brian Hill left guard for 6 yards (tackle by Austin Calitro and Donald Payne),5.140,5.530
4,13:41,2,3,JAX 3,6,23,"Qadree Ollison right tackle for 3 yards, touchdown",5.530,7.000
4,13:36,,,JAX 15,6,24,Younghoe Koo kicks extra point good,0.000,0.000
4,13:36,,,ATL 35,6,24,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
4,13:36,1,10,JAX 25,6,24,Gardner Minshew pass complete short right to Seth Devalve for 9 yards (tackle by Ricardo Allen),0.610,1.280
4,13:08,2,1,JAX 34,6,24,Leonard Fournette left tackle for 4 yards (tackle by Tyeler Davison),1.280,1.470
4,12:41,1,10,JAX 38,6,24,Gardner Minshew pass complete short right to Seth Devalve for 20 yards (tackle by Blidi Wreh-Wilson),1.470,2.790
4,12:08,1,10,ATL 42,12,24,"Gardner Minshew pass complete deep right to Chris Conley for 42 yards, touchdown",2.790,7.000
4,12:00,,,ATL 2,12,24,"Two Point Attempt: Gardner Minshew pass incomplete intended for DJ Chark, conversion fails. Penalty on Andrew Norwell: Offensive Holding (Declined)",1.000,-1.000
4,12:00,,,JAX 35,12,24,"Josh Lambo kicks off 64 yards, returned by Kenjon Barner for 15 yards (tackle by Parry Nickerson). Penalty on Justin Hardy: Illegal Double-Team Block, 8 yards",0.000,-0.380
4,11:54,1,10,ATL 8,12,24,Devonta Freeman right tackle for 4 yards (tackle by Tre Herndon),-0.380,-0.490
4,11:25,2,6,ATL 12,12,24,Matt Ryan pass complete short left to Devonta Freeman for no gain (tackle by Austin Calitro),-0.490,-0.950
4,10:48,3,6,ATL 12,12,24,Matt Ryan pass complete deep left to Julio Jones for 17 yards (tackle by A.J. Bouye),-0.950,0.870
4,10:00,1,10,ATL 29,12,24,Devonta Freeman left tackle for -1 yards (tackle by A.J. Bouye),0.870,0.190
4,9:18,2,11,ATL 28,12,24,Matt Ryan pass incomplete short left intended for Justin Hardy (defended by Tre Herndon),0.190,-0.490
4,9:13,3,11,ATL 28,12,24,Matt Ryan sacked by Dawuane Smoot for -1 yards,-0.490,-1.570
4,8:33,4,12,ATL 27,12,24,"Ryan Allen punts 47 yards, returned by Dede Westbrook for 7 yards (tackle by Jaeden Graham)",-1.570,-1.140
4,8:23,1,10,JAX 33,12,24,Gardner Minshew pass incomplete deep left intended for Dede Westbrook,1.140,0.590
4,8:19,2,10,JAX 33,12,24,Gardner Minshew right end for 3 yards (tackle by Grady Jarrett),0.590,0.300
4,7:37,3,7,JAX 36,12,24,Gardner Minshew pass complete short left to Seth Devalve for 16 yards (tackle by Isaiah Oliver),0.300,2.390
4,7:09,1,10,ATL 48,12,24,Gardner Minshew pass incomplete deep left intended for Chris Conley (defended by Isaiah Oliver),2.390,1.850
4,7:04,2,10,ATL 48,12,24,Gardner Minshew pass incomplete short middle intended for Keelan Cole,1.850,1.160
4,7:00,3,10,ATL 48,12,24,Gardner Minshew pass incomplete short right intended for DJ Chark,1.160,0.070
4,6:55,4,10,ATL 48,12,24,Gardner Minshew pass complete short left to Chris Conley for 14 yards,0.070,3.310
4,6:39,1,10,ATL 34,12,24,Gardner Minshew pass incomplete short right intended for DJ Chark,3.310,2.770
4,6:34,2,10,ATL 34,12,24,Gardner Minshew pass incomplete short left intended for Leonard Fournette,2.770,2.080
4,6:27,3,10,ATL 34,12,24,Gardner Minshew left end for 6 yards (tackle by Vic Beasley),2.080,1.650
4,5:45,4,4,ATL 28,12,24,Gardner Minshew pass complete deep right to Keelan Cole for 23 yards (tackle by Isaiah Oliver),1.650,6.060
4,5:18,1,5,ATL 5,12,24,Gardner Minshew pass incomplete short right intended for DJ Chark (defended by Blidi Wreh-Wilson),6.060,5.150
4,5:15,2,5,ATL 5,12,24,Gardner Minshew pass incomplete short right intended for Seth Devalve,5.150,4.260
4,5:12,3,5,ATL 5,12,24,Gardner Minshew sacked by and John Cominsky for -2 yards and Jack Crawford for -2 yards,4.260,2.970
4,4:33,4,7,ATL 7,12,24,Gardner Minshew pass incomplete short middle intended for DJ Chark (defended by Blidi Wreh-Wilson),2.970,0.380
4,4:30,1,10,ATL 7,12,24,"Devonta Freeman right tackle for 18 yards (tackle by Tre Herndon). Penalty on Jaeden Graham: Offensive Holding, 3 yards (no play)",-0.380,-0.490
4,4:23,1,13,ATL 4,12,24,Matt Ryan pass complete short left to Julio Jones for 14 yards (tackle by A.J. Bouye),-0.490,0.040
4,3:39,1,10,ATL 18,12,24,Matt Ryan pass complete deep left to Austin Hooper for 31 yards (tackle by Austin Calitro),0.040,2.190
4,3:25,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,3:25,1,10,ATL 49,12,24,"Penalty on Alex Mack: False Start, 5 yards (no play)",2.190,1.860
4,3:25,1,15,ATL 44,12,24,Devonta Freeman left tackle for 5 yards (tackle by Austin Calitro),1.860,1.650
4,3:20,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,3:20,2,10,ATL 49,12,24,Matt Ryan pass complete short middle to Devonta Freeman for 10 yards (tackle by Abry Jones and Donald Payne),1.650,2.850
4,3:09,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,3:09,1,10,JAX 41,12,24,Devonta Freeman right tackle for 2 yards (tackle by Taven Bryan and Ronnie Harrison),2.850,2.580
4,2:24,2,8,JAX 39,12,24,Devonta Freeman right tackle for 13 yards (tackle by Donald Payne and Ronnie Harrison),2.580,3.840
4,2:00,1,10,JAX 26,12,24,Matt Ryan kneels for -1 yards,3.840,3.160
4,1:17,2,11,JAX 27,12,24,Matt Ryan kneels for -1 yards,3.160,2.350
4,0:39,3,12,JAX 28,12,24,Matt Ryan kneels for -1 yards,2.350,1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
