Quarter,Time,Tm,Detail,WAS,HOU
1.0,11:34,Texans,Mark Bruener 2 yard pass from David Carr (Kris Brown kick),0,7
,8:48,Redskins,Ladell Betts 9 yard rush (John Hall kick),7,7
2.0,14:52,Redskins,Antwaan Randle El 23 yard pass from Mark Brunell (John Hall kick),14,7
,0:01,Redskins,Clinton Portis 30 yard rush (John Hall kick),21,7
3.0,5:35,Redskins,Clinton Portis 1 yard rush (John Hall kick),28,7
4.0,14:50,Redskins,John Hall 46 yard field goal,31,7
,12:21,Texans,Owen Daniels 2 yard pass from David Carr (Ron Dayne run),31,15
