Unnamed: 0,WAS,HOU
First Downs,25,17
Rush-Yds-TDs,41-234-3,18-61-0
Cmp-Att-Yd-TD-INT,24-27-261-1-0,19-29-208-2-1
Sacked-Yards,0-0,1-8
Net Pass Yards,261,200
Total Yards,495,261
Fumbles-Lost,1-1,3-1
Turnovers,1,2
Penalties-Yards,12-126,7-57
Third Down Conv.,9-13,3-7
Fourth Down Conv.,0-0,0-0
Time of Possession,38:27,21:33
