Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 65 yards, returned by Rock Cartwright for 19 yards (tackle by Lewis Sanders). Penalty on Demetric Evans: Offensive Holding, 10 yards",0.000,-0.280
1,15:00,1,10,WAS 14,0,0,Clinton Portis right guard for 4 yards (tackle by Jason Babin),-0.280,-0.210
1,14:17,2,6,WAS 18,0,0,Clinton Portis middle for 5 yards (tackle by Dexter McCleon),-0.210,-0.320
1,14:17,3,1,WAS 23,0,0,Clinton Portis right guard for no gain (tackle by Seth Payne),-0.320,-1.830
1,12:54,4,1,WAS 23,0,0,"Derrick Frost punts 52 yards, returned by Phillip Buchanon for 9 yards (tackle by Khary Campbell)",-1.830,-1.200
1,12:54,1,10,HOU 34,0,0,Ron Dayne middle for 2 yards (tackle by Marcus Washington and Sean Taylor),1.200,0.930
1,12:17,2,8,HOU 36,0,0,Ron Dayne middle for 9 yards (tackle by Adam Archuleta),0.930,1.930
1,11:50,1,10,HOU 45,0,0,David Carr pass complete deep middle to Andre Johnson for 53 yards (tackle by Sean Taylor),1.930,6.740
1,11:40,1,10,HOU 45,,,Timeout #1 by Houston Texans,1.930,6.740
1,11:38,1,2,WAS 2,0,6,"David Carr pass complete to Mark Bruener for 2 yards, touchdown",6.740,7.000
1,11:38,,,WAS 2,0,7,Kris Brown kicks extra point good,0.000,0.000
1,11:38,,,HOU 30,0,7,"Kris Brown kicks off 70 yards, returned by Rock Cartwright for 18 yards (tackle by Glenn Earl). Penalty on Jeff Posey: Offensive Holding, 9 yards, Penalty on Rocky McIntosh: Offensive Holding (Declined)",0.000,-0.380
1,11:27,1,10,WAS 9,0,7,Clinton Portis left guard for 3 yards (tackle by Mario Williams),-0.380,-0.560
1,10:48,2,7,WAS 12,0,7,Clinton Portis left tackle for 1 yard (tackle by Shantee Orr),-0.560,-0.950
1,10:06,3,6,WAS 13,0,7,Mark Brunell pass complete to Clinton Portis for 74 yards (tackle by Dunta Robinson),-0.950,4.710
1,9:36,1,10,HOU 13,0,7,Ladell Betts left tackle for 4 yards (tackle by DeMeco Ryans),4.710,4.770
1,8:55,2,6,HOU 9,6,7,"Ladell Betts left tackle for 9 yards, touchdown",4.770,7.000
1,8:55,,,HOU 9,7,7,John Hall kicks extra point good,0.000,0.000
1,8:55,,,WAS 30,7,7,"John Hall kicks off 68 yards, returned by Wali Lundy for 19 yards (tackle by Vernon Fox)",0.000,0.340
1,8:37,1,10,HOU 21,7,7,Ron Dayne right guard for 1 yard (tackle by Cornelius Griffin),0.340,-0.070
1,7:59,2,9,HOU 22,7,7,David Carr pass complete short middle to Ron Dayne for 13 yards (tackle by Carlos Rogers),-0.070,1.270
1,7:23,1,10,HOU 35,7,7,David Carr pass complete short left to Andre Johnson for 7 yards (tackle by Carlos Rogers),1.270,1.670
1,6:48,2,3,HOU 42,7,7,"David Carr for no gain. David Carr fumbles, recovered by Chester Pitts at HOU-42",1.670,0.960
1,6:14,3,3,HOU 42,7,7,David Carr sacked by Marcus Washington and Lemar Marshall for -8 yards,0.960,-1.110
1,5:46,4,11,HOU 34,7,7,"Chad Stanley punts 40 yards, fair catch by Antwaan Randle El",-1.110,-0.670
